Polyphenol Name	CAS Number	1	2	5	9	10	11	16	17	19	36	38	41	42	43	46	47	50	53	117	118	121	123	124	125	126	127	129	132	140	141	142	143	144	147	149	151	152	153	154	156
Rhapontigenin	500-65-2	54	49	29	22	75	35	98	98	71	97	93	98	43	72	45	93	95	90	4	3	39	10	2	73	43	2	1	3	1	7	2	22	6	17	2	68	29	2	2	5
Genistein	446-72-0	22	0	15	0	34	1	28	70	3	23	79	77	33	4	30	56	20	2	3	12	43	40	59	55	5	0	0	10	17	36	1	2	0	34	16	2	55	0	0	64
Apigenin	520-36-5	43	0	59	0	83	0	73	94	0	55	98	77	92	16	88	93	47	77	33	25	89	51	83	0	12	0	2	48	88	94	25	16	0	74	47	23	74	0	11	28
Luteolin	491-70-3	73	2	23	24	77	0	85	94	43	59	98	97	92	46	47	92	77	98	6	49	86	92	56	16	7	0	0	12	58	62	0	15	0	53	3	82	60	0	0	43
Mangiferin	4773-96-0	0	0	0	1	1	1	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitexin	3681-93-4	0	0	5	0	8	0	0	0	0	0	9	0	0	0	16	46	0	0	0	0	1	7	3	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
4-Allylpyrocatechol	1126-61-0	56	47	8	61	6	3	71	92	84	73	2	100	7	29	75	73	75	77	0	0	7	0	1	0	0	0	0	1	0	5	0	2	0	0	24	28	9	0	0	2
2,3,4-Trihydroxybenzoic acid	13677-79-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homogentisic acid	451-13-8	15	21	0	0	0	19	100	0	0	1	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
5,7-Dihydroxychromone	31721-94-5	43	12	2	12	30	1	19	54	54	24	57	56	17	20	39	54	10	49	100	0	21	10	16	24	0	0	0	8	0	47	0	4	0	11	7	15	35	0	0	12
4,7-DIHYDROXYCOUMARIN	1983-81-9	20	2	1	0	0	0	21	85	0	1	37	9	0	6	0	39	0	56	0	0	30	3	1	1	1	0	0	12	0	0	0	0	0	2	0	12	17	0	0	8
2',3'-Dihydroxy-4'-methoxyacetophenone	708-53-2	39	21	4	3	44	36	50	43	16	50	0	74	2	42	54	59	59	60	100	2	24	4	1	55	1	0	0	3	0	4	0	2	0	0	1	40	39	1	0	5
4-Methylesculetin	529-84-0	54	11	17	39	57	2	10	86	97	73	56	95	6	0	66	94	82	87	0	0	16	6	28	12	0	0	0	24	0	0	0	0	0	2	0	35	31	0	0	24
4-Methyllimetol	2107-76-8	14	2	38	86	89	77	74	88	95	16	95	98	94	85	66	97	94	91	0	0	82	18	2	3	0	0	0	71	0	0	0	32	0	32	0	56	95	0	0	48
Methyl caffeate acid	3843-74-1	33	57	16	49	47	80	86	97	98	29	96	98	11	93	77	91	98	95	1	9	42	16	12	0	0	0	0	3	30	31	0	5	0	24	4	49	7	0	0	11
Atraric acid	4707-47-5	14	13	4	3	56	24	64	52	45	51	66	0	3	31	43	90	0	50	1	0	64	13	2	10	3	0	1	3	0	17	2	2	0	2	2	70	35	5	0	3
Hydroxytyrosol Acetate	69039-02-7	40	39	7	47	1	0	7	97	100	9	9	0	0	57	75	87	99	94	3	1	2	0	2	0	0	35	7	0	0	2	0	0	0	0	0	8	0	0	0	0
Propyl gallate	121-79-9	82	55	22	71	52	56	98	98	99	71	24	100	95	95	89	87	95	100	3	2	36	5	0	3	5	0	1	38	1	7	2	3	3	1	2	73	37	2	2	18
2,4'-Dihydroxybenzophenone	606-12-2	0	1	10	20	19	35	19	12	6	17	74	0	16	17	69	72	71	39	1	0	43	14	7	17	7	0	0	4	2	19	0	3	7	13	2	6	4	0	0	4
Equol	531-95-3	3	1	1	1	12	0	18	30	0	10	95	3	23	1	23	78	4	46	2	1	17	2	1	0	0	1	0	5	1	7	0	0	0	30	0	2	5	0	0	16
4'-Methoxyresveratrol	33626-08-3	92	95	14	37	15	96	98	100	55	99	99	99	20	97	50	98	91	30	1	5	9	29	2	0	20	0	1	25	1	11	0	4	1	7	3	72	67	0	0	7
Gnetol	86361-55-9	5	6	4	8	7	80	56	62	7	92	97	53	7	40	35	93	67	51	0	2	2	3	5	6	4	0	0	2	3	2	4	0	2	2	2	13	13	4	4	5
7,8-Dihydroxy-4-phenylcoumarin	842-01-3	9	0	15	10	43	46	44	56	76	15	92	78	12	8	9	85	0	27	1	3	60	22	1	10	35	0	0	27	2	37	0	4	23	33	0	38	17	0	0	18
5,7-Dihydroxy-4-phenylcoumarin	7758-73-8	0	0	79	28	40	24	26	96	82	6	61	94	83	5	91	100	19	28	0	0	36	38	0	24	10	1	1	26	2	4	0	48	7	9	0	4	25	0	0	21
Isorhapontigenin	32507-66-7	47	36	38	30	46	55	61	97	51	63	94	89	42	19	49	97	80	82	1	1	28	5	2	20	6	0	0	5	3	3	0	8	0	7	1	17	28	0	0	20
6,7,4'-Trihydroxyisoflavone	17817-31-1	36	5	0	0	64	0	42	81	26	25	80	71	75	2	24	87	0	16	2	0	67	0	32	0	4	0	0	36	79	67	0	0	0	40	3	1	7	0	0	52
