cid	raw	title
72	3,4-dihydroxylbenzoic acid	3,4-Dihydroxybenzoic acid
135	4-hydroxyl-benzoic acid	4-Hydroxybenzoic acid
681	Dopamine	Dopamine
801	Indole 3-acetate	Indole-3-acetate
932	Naringenin	Naringenin
1254	Menthol	Menthol
1738	HomovanilAcid	Homovanillic acid
1738	Homovanillic acid	Homovanillic acid
3314	Eugenol	Eugenol
3469	2,5-dihydroxylbenzoic acid	2,5-Dihydroxybenzoic acid
3830	Kinetin	Kinetin
4133	Methyl salicylate	Methyl salicylate
4592	Olomoucine	Olomoucine
4788	Phloretin	Phloretin
5793	Glucose	D-Glucose
5959	Chloramphenicol	Chloramphenicol
6047	Levodopa	Levodopa
6288	Threonine	L-Threonine
6466	Gibberellin A3	Gibberellic acid
6549	Linalool	Linalool
6989	Thymol	Thymol
7041	Syringol	2,6-Dimethoxyphenol
7172	Synephrine	Synephrine
7257	DCA	3,4-Dichloroaniline
7257	3,4-dichloroaniline	3,4-Dichloroaniline
7258	DCP	3,4-Dichlorophenol
8434	Ethylparaben	Ethylparaben
8629	UDPGlc	Uridine-5'-diphosphate-glucose
8629	UDP5SGlc	Uridine-5'-diphosphate-glucose
9064	Catechin	Cianidanol
10154	Boldine	Boldine
10742	Syringic acid	Syringic acid
10819	Perillyl alcohol	Perillyl alcohol
11782	DiMeBenzAcid	2,3-Dimethylbenzoic acid
15541	Spectinomycin	Spectinomycin
16666	L-Menthol	l-Menthol
17100	Terpineol	alpha-TERPINEOL
18068	UDPGal	Galactose-uridine-5'-diphosphate
19235	UDPXyl	UDP-xylose
21648	Rasberry ketone	4-(4-Hydroxyphenyl)-2-butanone
27582	TCP	2,3,4-Trichlorophenol
31211	Zingerone	Zingerone
31553	Silibinin	Silibinin
32021	DihydroZeatin	Dihydrozeatin
47936	Forskolin	Forskolin
53232	Lovastatin	Lovastatin
62389	BenzAdenine	6-Benzylaminopurine
62389	N6-Benzyladenine	6-Benzylaminopurine
64685	Borneol	Borneol
64981	Arctigenin	Arctigenin
65090	Xanthotoxol	Xanthotoxol
65126	Carnosic acid	Carnosic acid
65243	Ginkgolide B	Ginkgolide B
68289	Sesamol	Sesamol
69867	1H-Indole-3-carboxylic acid	Indole-3-carboxylic acid
72276	Epicatechin	(-)-Epicatechin
72303	Honokiol	Honokiol
72936	Sophoraflavanone G	Sophoraflavanone G
73399	Pinoresinol	Pinoresinol
73412	Madecassic acid	Madecassic acid
79964	DCT	3,4-Dichlorothiophenol
92109	Gibberellin A4	Gibberellin A4
92180	N6-isopentenyladenine	N-(3-Methylbut-2-EN-1-YL)-9H-purin-6-amine
99514	Isosteviol	Isosteviol
107126	Dihydrojasmonic acid	Dihydrojasmonic acid
114840	Higenamine	Higenamine
122738	Procyanidin B2	Procyanidin B2
124219	Mollugin	Mollugin
128861	Cyanidin	Cyanidin
143754	FuranThiol	2-Furanthiol, 5-methyl-
155240	Hydroxytyrosol acetate	Hydroxytyrosol Acetate
174174	Atropine	Atropine
188297	Santamarine	Santamarine
227829	Guaiol	Guaiol
285033	Homoharringtonine	Omacetaxine mepesuccinate
356759	Erianin	Erianin
398789	Evodine	Evodine
439174	GlcNAc	N-Acetyl-D-Glucosamine
439378	L-Theanine	L-Theanine
439533	Trans-dihydroquercetin (DHQ)	Taxifolin
439653	Reticuline	Reticuline
442793	6-Gingerol	Gingerol
442793	Gingerol	Gingerol
443210	dTDPGlc	2'Deoxy-thymidine-5'-diphospho-alpha-D-glucose
444539	CinAcid	Cinnamic acid
444539	Cinnamic acid	Cinnamic acid
445154	Resveratrol	Resveratrol
445675	UDPGlcNAc	Uridine-diphosphate-N-acetylglucosamine
445858	4-hydroxy 3-methoxy cinnamic acid	Ferulic acid
445858	Ferulic acid	Ferulic acid
448873	UDPMan	Uridine-5'-diphosphate-mannose
449093	trans-Zeatin	trans-Zeatin
449093	Trans-Zentin-Glucose	trans-Zeatin
637540	2-hydroxy cinnamic acid	2-Hydroxycinnamic acid
637541	3-hydroxy cinnamic acid	3-Hydroxycinnamic acid
637542	4-hydroxy cinnamic acid	4-Hydroxycinnamic acid
637566	Geraniol	Geraniol
637775	Sinapic acid	Sinapic acid
689043	3,4-dihyroxy cinnamic acid	Caffeic acid
854026	Huperzine A	Huperzine A
1548943	Capsaicin	Capsaicin
1549095	ConAlc	Coniferyl alcohol
1549095	Coniferyl alcohol	Coniferyl alcohol
2733787	MUGlcNAc	2H-1-Benzopyran-2-one, 7-[[2-(acetylamino)-2-deoxy-beta-D-glucopyranosyl]oxy]-4-methyl-
3001686	Gomisin J	Gomisin J
5280343	Quercetin	Quercetin
5280371	Bergaptol	Bergaptol
5280445	Luteolin	Luteolin
5280460	7-hydroxy 6-methoxy coumarin (Scopoletin)	Scopoletin
5280460	Scopoletin	Scopoletin
5280535	Coumaryl alcohol	p-Coumaryl alcohol
5280567	2-Methyl-umbelliferone	Hymecromone
5280863	Kaempferol	Kaempferol
5280896	AbscisicAcid	Abscisic acid
5280896	Abscisic acid	Abscisic acid
5280896	()- cis, trans Abscisic acid	Abscisic acid
5280961	Genistein	Genistein
5281166	()-Jasmonic acid	Jasmonic acid
5281416	6,7-dihydroxy coumarin (Esculetin)	Esculetin
5281426	Umbelliferone	Umbelliferone
5281605	Baicalein	Baicalein
5281614	Fisetin	Fisetin
5281855	Ellagic acid	Ellagic acid
5284507	Nerolidol	Nerolidol
5315892	CinAlc	Cinnamyl alcohol
5315892	Cinnamyl alcohol	Cinnamyl alcohol
5318517	Andrographolide	Andrographolide
5328791	a-cyano-4-hydroxyl-cinnamic acid	alpha-Cyano-4-hydroxycinnamic acid
5337757	7-hydroxycoumerin 3-carboxylic acid	7-Hydroxycoumarin-3-carboxylic acid
5338490	7-hydroxycoumerin 4-acetic acid	7-Hydroxycoumarin-4-acetic acid
5366264	Hotrienol	Hotrienol
5379033	Dehydrodiisoeugenol	Dehydrodiisoeugenol
5460358	D-glycerate	D-Glycerate
5912039	HuperzineA	Fordine
7009598	Ser-Phe	Ser-phe
7015695	Ser-Leu	Ser-Leu
10922465	Artemisinic acid	Artemisinic acid
10955174	Patchouli alcohol	Patchouli alcohol
11876195	Ilicic acid	Ilicic acid
