smiles	fromCID	replacement
Clc1ccc(Cl)cc1	66	H
Fc1cc(Cl)ccc1Cl	66	F
Clc1ccc(Cl)c(Cl)c1	66	Cl
COc1cc(Cl)ccc1Cl	66	OMe
CC(=O)Oc1cc(Cl)ccc1Cl	66	OAc
COC(=O)c1ccccc1	72	H
COC(=O)c1ccc(F)cc1	72	F
COC(=O)c1ccc(Cl)cc1	72	Cl
COC(=O)c1ccc(OC)cc1	72	OMe
COC(=O)c1ccc(OC(C)=O)cc1	72	OAc
COC(=O)c1ccccc1	135	H
COC(=O)c1ccc(F)cc1	135	F
COC(=O)c1ccc(Cl)cc1	135	Cl
COC(=O)c1ccc(OC)cc1	135	OMe
COC(=O)c1ccc(OC(C)=O)cc1	135	OAc
Cc1ccccc1	244	H
FCc1ccccc1	244	F
ClCc1ccccc1	244	Cl
COCc1ccccc1	244	OMe
CC(=O)OCc1ccccc1	244	OAc
c1ccccc1	289	H
Fc1ccccc1	289	F
Clc1ccccc1	289	Cl
COc1ccccc1	289	OMe
CC(=O)Oc1ccccc1	289	OAc
O=C1CC(c2ccccc2)Oc2ccccc21	932	H
O=C1CC(c2ccccc2)Oc2cc(F)ccc21	932	F
O=C1CC(c2ccc(Cl)cc2)Oc2ccccc21	932	Cl
COc1ccc2c(c1)OC(c1ccccc1)CC2=O	932	OMe
CC(=O)Oc1ccc(C2CC(=O)c3ccccc3O2)cc1	932	OAc
c1ccccc1	996	H
Fc1ccccc1	996	F
Clc1ccccc1	996	Cl
COc1ccccc1	996	OMe
CC(=O)Oc1ccccc1	996	OAc
C=CCc1cccc(OC)c1	3314	H
C=CCc1ccc(F)c(OC)c1	3314	F
C=CCc1ccc(Cl)c(OC)c1	3314	Cl
C=CCc1ccc(OC)c(OC)c1	3314	OMe
C=CCc1ccc(OC(C)=O)c(OC)c1	3314	OAc
COC(=O)c1ccccc1	3469	H
COC(=O)c1cccc(F)c1	3469	F
COC(=O)c1ccccc1Cl	3469	Cl
COC(=O)c1cccc(OC)c1	3469	OMe
COC(=O)c1cccc(OC(C)=O)c1	3469	OAc
