cid	smiles
5280896	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C
12304694	CCC=CCC1C(CCC1=O)CC(=O)O
7005	C1=CC=C2C(=C1)C=CC=C2O
27582	C1=CC(=C(C(=C1O)Cl)Cl)Cl
11334	C1=CC(=C(C(=C1)Cl)Cl)O
7271	C1=C(C(=CC(=C1Cl)Cl)Cl)O
6914	C1=C(C=C(C(=C1Cl)O)Cl)Cl
8449	C1=CC(=C(C=C1Cl)Cl)O
66	C1=CC(=C(C=C1Cl)O)Cl
3469	C1=CC(=C(C=C1O)C(=O)O)O
6997	CCC1=CC=CC=C1O
637540	C1=CC=C(C(=C1)C=CC(=O)O)O
6054	C1=CC=C(C=C1)CCO
2736603	C1=CC(=C(C=C1C(F)(F)F)Cl)O
7058	C1=CC=C2C=C(C=CC2=C1)S
7257	C1=CC(=C(C=C1N)Cl)Cl
72	C1=CC(=C(C=C1C(=O)O)O)O
689043	C1=CC(=C(C=C1C=CC(=O)O)O)O
91747288	CC1=CCC(C(C1C=CC(C)O)(C)C)O
5370052	CC1=CC(=O)CC(C1C=CC(C)O)(C)C
637541	C1=CC(=CC(=C1)O)C=CC(=O)O
91749226	CC=CC(=O)C1=CCC(CC1(C)C)O
14565843	CC1=C(C(CCC1O)(C)C)C=CC(C)O
10176665	CC1=C(C(CCC1O)(C)C)C=CC(=O)C
5280567	CC1=CC(=O)OC2=C1C=CC(=C2)O
4684	C1=CC(=CC=C1O)Cl
7815	C1=CC(=CC=C1S)Cl
445858	COC1=C(C=CC(=C1)C=CC(=O)O)O
637542	C1=CC(=CC=C1C=CC(=O)O)O
135	C1=CC(=CC=C1C(=O)O)O
5281416	C1=CC(=O)OC2=CC(=C(C=C21)O)O
5280460	COC1=C(C=C2C(=C1)C=CC(=O)O2)O
5337757	C1=CC2=C(C=C1O)OC(=O)C(=C2)C(=O)O
5338490	C1=CC2=C(C=C1O)OC(=O)C=C2CC(=O)O
5280442	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
5280443	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
5281605	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
244	C1=CC=C(C=C1)CO
8363	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O
5280371	C1=CC(=O)OC2=CC3=C(C=CO3)C(=C21)O
9064	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
289	C1=CC=C(C(=C1)O)O
5959	C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
5281607	C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
444539	C1=CC=C(C=C1)C=CC(=O)O
1549095	COC1=C(C=CC(=C1)C=CCO)O
128861	C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O
68247	C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O.[Cl-]
439194	C(C(C(=O)O)O)O
79964	C1=CC(=C(C=C1S)Cl)Cl
5281708	C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
32021	CC(CCNC1=NC=NC2=C1NC=N2)CO
107126	CCCCCC1C(CCC1=O)CC(=O)O
107905	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
3314	COC1=C(C=CC(=C1)CC=C)O
5281614	C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
19309	CC1C(=O)C(=C(O1)C)O
5280961	C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
637566	CC(=CCCC(=CCO)C)C
10114	CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
33931	CCC1C(=O)C(=C(O1)C)O
802	C1=CC=C2C(=C1)C(=CN2)CC(=O)O
5280863	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
6032	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N
3830	C1=COC(=C1)CNC2=NC=NC3=C2NC=N3
6549	CC(=CCCC(C)(C=C)O)C
53232	CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
5280445	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
4133	COC(=O)C1=CC=CC=C1O
5281672	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
