cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount_2	VanDerWaalsVolume	SASA	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
780	0.22078201974919193	-1.108282344405135	0.7682841639309852	0.3569586628654515	-0.5866594123966518	1.9996753106058178	2.499757844419617	-0.1670184718299506	0.727052699184217	-0.874006637769501	0.005602836760381608	-1.230398051853886	185.261	168.15	C1=CC(=C(C=C1O)CC(=O)O)O	77.8	168	0	3	4	2	12	0	0	64	4	-0.5079513734166975	0.30746184216642614	0.30746184216642614	0.5079513734166975	-1.7099999999999997	80.20528548064618	1	0	0	0	4	3	0	0	0	0	1	1	0	0	0	0	0.125	0.9429131786403031	0.31139938429681524	0.002371350342565197	0.33303864272249245	0.7702016446708982	0.27943487132709316	2.4696797535422084	0.7248999999999997	41.11140000000002	12	145.032	204.09932754946087	1	0	0	2	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	153.118	8.086	0.947
4534	-1.0300131755287634	0.6109932130068029	-1.7115644464732427	-0.18993899547548787	-0.07407053862767243	0.6983033505390701	0.07536294901201254	-0.9275493463110023	-2.0692912857042405	-1.4906453988675352	0.8719886311922482	2.4264628227125025	345.975	302.4	CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O	80.9	303	0	4	4	5	22	2	0	118	4	-0.5042598931275362	0.293293782812076	0.293293782812076	0.5042598931275362	-2.36	161.11111705692548	2	0	0	0	4	4	0	0	0	0	2	2	0	0	0	0	0.3333333333333333	0.9887853866588363	0.6243801516868243	0.0014569208231529534	0.14934342680525095	0.9849805054708423	0.314171256520007	3.9971330576473525	3.5664000000000033	85.27920000000002	22	286.502	385.2985837928856	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307.957	21.455	0.930
4947	-0.1474808488239085	0.27313981225502515	-1.0488904155863108	-3.0088966443012097	1.0002861753654921	3.769614045983876	0.3325265765327985	-0.5380571775556626	-0.5405670739053827	-0.7779443642916235	-0.8302297536393828	0.1740000533601134	240.967	212.2	CCCOC(=O)C1=CC(=C(C(=C1)O)O)O	87.0	206	0	3	5	4	15	0	0	82	5	-0.5041437396005058	0.337901122732036	0.337901122732036	0.5041437396005058	-1.91	103.66859693961752	1	0	0	0	5	3	0	0	0	0	1	1	0	0	0	0	0.3	0.9819490862327178	0.5373401316415992	0.0021471346139243504	0.1891454256563735	0.8446350214828777	0.09339386996025034	3.1569689275416617	1.3702	52.00990000000003	15	187.203	269.3222721993015	1	1	0	3	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	197.203	10.000	0.949
12820	1.1514387359921443	0.5914273293457373	-0.8981181691241807	0.8384912964739031	1.6453896601804296	1.7199560801356555	1.5653731892042793	-0.16514886540514534	1.561904071315068	0.8339487089863913	1.7583944078537552	1.5569810451449948	199.899	182.17	CC(=O)C1=C(C(=C(C=C1)OC)O)O	66.8	192	0	2	4	2	13	0	0	70	4	-0.5036601216319667	0.2934302528535642	0.2934302528535642	0.5036601216319667	-1.71	89.61280981456204	1	0	0	0	4	2	0	0	0	0	1	1	0	0	0	0	0.2222222222222222	0.9672601633956771	0.4308685057339146	0.002313421832960196	0.2537868718191858	0.7515156319763968	0.044462643496358645	2.654224044532411	1.3089999999999997	46.32810000000002	13	160.956	222.0253906488786	1	1	0	2	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	166.847	5.890	0.965
70775	-1.490857310850494	-0.637337001183999	-1.21579446017034	1.1714806526662247	0.8879693874297532	-0.06768601785552722	0.7613640008976292	0.05980717886421192	-2.3305492812643576	-1.11607684388318	-1.1428524469807533	0.6746188798766402	187.230	150.17	C=CCC1=CC(=C(C=C1)O)O	40.5	134	0	2	2	2	11	0	0	58	2	-0.5042598910893129	0.2932937842281692	0.2932937842281692	0.5042598910893129	-1.44	79.64813945282714	1	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0.1111111111111111	0.973929555616253	0.4677659167999863	0.003942580994136641	0.2268506572552259	0.8435816323584212	0.18153988551883818	2.549864077403571	1.8262999999999998	43.67260000000003	11	144.865	211.4355831943494	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	152.745	7.881	0.948
73571	0.8293449572145103	-0.004719819718778318	-0.9972548518617006	-0.9716967805559495	0.6935505523175332	-1.117049581462302	-0.6052680393116581	-2.4577267240464273	-0.2185449970071539	0.6714399756156442	4.340731246525154	-1.4012269963071742	289.090	286.28	COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)O	76.0	377	0	2	5	2	21	1	0	108	5	-0.5079666065471226	0.29313584941165477	0.29313584941165477	0.5079666065471226	-2.6899999999999995	140.76244221167156	3	0	0	1	5	2	0	1	0	1	2	2	0	0	0	0	0.1875	0.976896272206953	0.49167999834146103	0.0009807879351541253	0.21371399895224172	0.8312511698361318	0.10028212664735531	3.763503046287384	2.8129000000000017	75.08210000000001	21	245.884	328.1618371689961	1	1	0	2	1	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	6	6	0	0	0	0	257.089	11.204	0.956
83651	0.4283879039668606	-2.1766485036479475	0.5400542926224354	-0.7649198858944974	0.9684661217512162	1.446209628362107	0.538119329747925	-0.0823043702169524	-0.9083468995953714	-0.2745569749772514	-1.9089180596855828	1.1881004538849738	164.147	154.12	C1=C(C=C(C(=C1O)O)O)C=O	77.8	135	0	3	4	1	11	0	0	58	4	-0.5041454043633921	0.2934297487311299	0.2934297487311299	0.5041454043633921	-1.7099999999999997	71.03040236591397	1	0	0	0	4	3	0	0	0	0	1	1	0	0	0	0	0.0	0.9496159579029763	0.35444086817700876	0.0024735378645970034	0.3134159097684938	0.6865840902503313	4.433472499206446e-11	2.3971552293579568	0.6159000000000001	36.8239	11	128.100	173.1704399092848	1	1	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132.584	4.484	0.966
91469	-2.9976880705006725	-0.31937580555233097	-0.1477895873321319	0.2180293597670525	0.616752511511022	-0.29134935593427874	0.4076940600998302	-3.421817810675757	-0.16018081805224788	-1.2951547927995788	0.2830509730168919	-1.7454454702652902	263.349	242.27	C1C(COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O	49.7	273	0	2	3	1	18	1	0	92	3	-0.5079666421735157	0.2930955307980986	0.2930955307980986	0.5079666421735157	-2.1599999999999997	125.1224327677243	3	0	0	1	3	2	0	1	0	1	2	2	0	0	0	0	0.2	0.9811725198068685	0.5344873755665348	0.001922999512714028	0.19313333833349533	0.9539079234272627	0.31762018332883646	3.373547348969033	2.816500000000002	68.15360000000003	18	218.715	306.0793918513828	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	230.391	11.676	0.949
122850	-0.7108562994020353	-2.862693156966899	2.540804879595988	0.24698280724956745	0.08404527221908804	-1.9377409849276281	-0.6560262241288524	-2.405612776025917	-0.564160267014416	0.6344567705323263	1.4430430853664777	-0.3888540075651654	286.629	288.25	C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	107.0	392	0	4	6	1	21	2	0	108	6	-0.5079666064362252	0.2931358699848075	0.2931358699848075	0.5079666064362252	-2.7300000000000004	136.23582188807896	3	0	0	1	6	4	0	1	0	1	2	2	0	0	0	0	0.13333333333333333	0.9781992732753713	0.5019668009585898	0.0011282305717044581	0.20766844190568648	0.8556134538130697	0.1711452147329182	3.6151846113411947	1.4807000000000006	71.5847	21	238.097	319.30184252885203	1	1	1	3	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	6	6	0	0	0	0	250.275	12.177	0.951
155011	-2.008148862339399	-2.0305038219214344	1.32090154793017	2.875863975618336	1.9692499527725573	0.42120009749411996	-1.3828385448808063	1.8154885451030742	3.2924842468804245	1.6470264204818437	-0.5064778908421614	-0.2174876676008473	319.780	330.29	CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)OC)O	113.0	521	0	3	7	2	24	0	0	124	7	-0.5041396003475447	0.29332026794209004	0.29332026794209004	0.5041396003475447	-3.22	156.1698104364352	3	0	0	0	7	3	0	1	1	0	2	2	0	0	0	0	0.17647058823529413	0.9723689537488684	0.46059104500224435	0.0007730205346246821	0.23344939020123995	0.7841367380723588	0.04965905361288933	3.6429736504083805	1.9044199999999996	82.58440000000002	24	273.062	361.7103883792395	2	2	0	3	2	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	287.981	14.919	0.948
