cid	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount	VanDerWaalsVolume	SASA	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino
10154	327.4	CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)O)OC)O	62.2	461	0	2	5	2	24	1	0	126	5	-0.5042475041013863	0.2932942744555965	0.2932942744555965	0.5042475041013863	-2.4	170.28454247266643	4	0	0	1	5	2	0	2	1	1	2	2	0	0	0	0	0.3684210526315789	0.91989215268927	0.2739215823205675	0.00041821222806595534	0.3921714260635274	0.6335247969009673	0.08691989772845059	3.456937765702492	2.867100000000002	91.09060000000004	24	293.3040000000001	383.5322564600124	0	0	0	2	2	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	6	6	0	0	0	0
101693	172.69	CC(=CCCC(C)(C=C)Cl)C	0.0	154	0	0	0	4	11	1	0	64	1	-0.11507058787610036	0.0597787928341444	0.0597787928341444	0.11507058787610036	-0.23000000000000004	98.83228872276493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.9661376551069709	0.4201800676188676	0.0029028714113237056	0.2580271911725663	0.9257659322613825	0.3429954850272143	2.7954375767425095	3.9163000000000032	53.12000000000003	11	180.80800000000005	264.09075100221025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
101763507	993.8	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)O)O)NC(=O)C4=C(C(=CC(=C4)C5C(C(C(C(O5)CO)O)O)O)O)O)NC(=O)C6=C(C(=CC=C6)O)O	468.0	1850	0	17	25	10	70	13	0	380	28	-0.5042421021300195	0.3318363369929704	0.3318363369929704	0.5042421021300195	-7.12	459.0135936643054	6	3	0	3	28	17	0	3	0	3	3	3	0	0	3	3	0.42857142857142855	0.9399980315938503	0.30264382288332103	4.1732765139164666e-05	0.3411798654664234	0.7564010132539601	0.15340343673006285	7.487437466212572	-5.711199999999983	221.39479999999983	70	804.7280000000002	1019.9933103496707	6	6	8	6	0	0	3	0	0	0	0	0	5	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	48	45	0	0	0	0
10176665	208.3	CC1=C(C(CCC1O)(C)C)C=CC(=O)C	37.3	321	0	1	2	2	15	1	1	84	2	-0.38875400491616335	0.21092385926156895	0.21092385926156895	0.38875400491616335	-0.8900000000000001	119.87535529641431	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0.6153846153846154	0.9584855931643697	0.3755596016180644	0.0015913377521283318	0.2851409610987985	0.7979119995461446	0.241195265284013	2.965213654286171	2.6290000000000013	61.542800000000035	15	214.98400000000004	301.4400989554214	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	3	0	0	0	0
102	124.14	C1=CC(=CC(=C1)O)CO	40.5	83	0	2	2	1	9	0	0	48	2	-0.5079548511567477	0.29309233801180634	0.29309233801180634	0.5079548511567477	-1.02	64.79791725588258	1	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9488966174180294	0.34889148389874625	0.0038715281388054107	0.3155870869548084	0.6953807993505566	0.07605882113450393	2.1470589742912565	0.8844999999999996	34.029599999999995	9	116.96000000000002	171.35182482301894	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
102334912	181.26	C1=CC=C(C=C1)CCC(=S)NO	64.4	144	0	2	2	3	12	0	0	64	3	-0.2906095509740759	0.2455883930384628	0.2455883930384628	0.2906095509740759	-0.9300000000000002	92.78254653738517	1	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0.2222222222222222	0.990542826367635	0.6440120625152929	0.003956794523783523	0.13720389619692772	0.9051415429863654	0.12677917216037585	3.0647982583628677	1.9253999999999998	52.28320000000002	12	166.10400000000004	232.56865623013778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
10251	224.25	C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3	26.3	281	0	0	2	1	17	1	0	84	2	-0.48449859061862716	0.1701515677227977	0.1701515677227977	0.48449859061862716	-2.0899999999999994	116.71220584678593	3	0	0	1	2	0	0	1	0	1	2	2	0	0	0	0	0.13333333333333333	0.9411697485901319	0.3018600843747828	0.0014364597272770183	0.3379341716056365	0.8357470908183543	0.26441329243336387	2.888568341628985	3.3931000000000022	65.20050000000003	17	204.34400000000005	277.26540857117664	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	3	0	0	0	0
102928	254.28	COC1=CC=C(C=C1)C2CC(=O)C3=CC=CC=C3O2	35.5	320	0	0	3	2	19	1	0	96	3	-0.49676818011386753	0.17015156787383898	0.17015156787383898	0.49676818011386753	-2.2899999999999996	131.00063419102506	3	0	0	1	3	0	0	1	0	1	2	2	0	0	0	0	0.1875	0.9915926681542567	0.6618911830222486	0.0021333512762299763	0.129398533464342	0.9275661442245027	0.15429467071202368	3.6865033187220484	3.4017000000000017	71.75250000000004	19	229.74400000000006	314.08957839652754	1	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	6	6	0	0	0	0
10680	222.24	C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2	26.3	326	0	0	2	1	17	0	0	82	2	-0.45581994644664064	0.1928162003900732	0.1928162003900732	0.45581994644664064	-2.3499999999999996	112.1862057830271	3	0	0	1	2	0	0	0	0	0	3	2	1	0	0	0	0.0	0.9835047291916381	0.5555081012778194	0.0020248360181107836	0.18088241389831902	0.8191175861044531	6.7428882073318114e-12	3.172239571453565	3.4600000000000017	67.92000000000003	17	196.96800000000005	256.4262364274045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10681515	240.3	COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2	26.3	256	0	0	2	5	18	0	0	92	2	-0.49600123482592295	0.1664266281646238	0.1664266281646238	0.49600123482592295	-2.0899999999999994	129.70286111538303	2	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0.1875	0.9878704013883348	0.6054514061772404	0.0017511790786956115	0.15528061714473693	0.8635850253904969	0.05826102307630923	3.652486886170973	3.5107000000000026	72.08750000000003	18	231.40800000000004	323.9579929127559	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	3	0	0	0	0
