cid	SESA
10057850	161.909
10154	341.923
101693	228.654
101763507	913.611
10176665	259.815
102	151.843
10225624	519.979
102334912	214.577
10251	241.192
102928	272.996
10441749	143.932
10467474	257.220
10680	228.848
10681515	281.358
10684283	296.068
107126	270.425
10742	215.644
10748	184.135
107670	668.977
107905	432.357
10796995	179.210
107985	355.139
10819	208.155
108507	244.929
10922465	284.511
10943	141.637
10955174	260.529
10955672	260.557
10988376	232.544
11032058	253.632
11105361	158.051
11119	176.099
11124	124.650
11149475	270.545
11240776	183.959
11334	152.601
1140	127.200
11446884	190.879
114829	262.678
114840	297.832
11502	217.576
11507421	293.857
11600956	201.433
11727234	285.990
11782	179.008
11833	174.793
11876195	290.988
119087140	227.433
11970	176.182
12167	157.839
12242236	290.838
122707150	465.969
122724	459.171
122738	544.379
122850	279.948
12304694	262.796
12310492	343.897
12326596	251.851
123866419	241.692
12398446	230.093
12398447	245.039
124219	288.959
12426239	212.669
12462	202.697
12463	170.557
12468	172.024
12491596	208.038
125	151.929
1254	218.041
12553720	287.340
12582098	282.574
12669351	301.401
12689827	245.462
12693379	233.376
12731045	256.249
12731046	251.586
12732963	173.315
12820	199.832
128861	278.306
12900885	300.796
129320322	417.371
129865704	247.653
13	162.440
13031970	165.382
13045738	273.044
133766	363.409
13410	183.361
135	155.709
135398625	533.463
135398627	541.686
135402013	528.135
135403798	513.567
13601	149.572
137530204	255.594
137614	215.918
13807896	306.027
13846689	294.709
138966	149.532
141006514	297.602
14104	222.704
141257442	273.363
142093	163.531
142094	162.172
14299523	283.886
14307	179.642
14349486	296.323
143754	134.860
14427423	372.021
14565843	262.333
145858	228.454
146013	262.872
146047	295.369
147157	264.702
147795	266.899
148791698	268.241
14969	1383.091
151515	247.592
15262172	260.662
154128759	252.230
1548943	396.480
1549095	216.323
155011	320.817
155240	227.453
15541	332.290
15725797	293.851
15725803	265.104
15731437	280.388
15956	261.718
160171452	233.697
162397	215.112
162886613	317.336
163085752	335.631
16321	174.184
1666397	282.916
16666	217.962
17090	215.233
17100	210.838
173273	334.310
1738	203.953
174174	324.340
174375	332.070
176096	344.694
17946	181.606
179615	192.959
18068	501.833
188297	271.004
18950	190.431
19089	183.038
19212	507.423
19235	476.777
19309	154.979
19710	160.392
20083560	252.967
20315194	293.599
20421	199.728
20596579	192.495
20824	377.773
20976640	249.451
213728	256.983
21465661	223.156
21487628	335.366
21600238	212.264
21611827	278.116
21648	205.040
21671	203.455
21722188	427.378
21928631	205.052
21932272	284.337
220184	181.572
220295	225.748
22096539	141.826
222284	508.576
223144	254.233
226487	283.602
227829	283.796
22812	201.120
2345	238.637
2355	217.704
23581946	457.071
237228	188.730
237447	254.999
238398	149.676
240	129.544
241	109.052
242064	261.028
244	140.890
244231	255.965
244690	262.006
245554	286.135
24725590	271.973
24725591	258.378
24726168	257.863
247344	272.990
25056407	435.973
255587	233.026
261393	233.207
261394	241.796
261397	239.936
26305	256.927
26945	603.628
26955	248.124
271816	173.253
2733787	389.711
2755679	214.826
27582	168.796
2759713	192.549
2817223	256.388
2817225	299.687
2825024	271.949
285033	574.469
289	128.491
3001686	418.280
3019951	310.709
3020659	200.095
30553	209.408
3085295	272.487
3102	211.844
31211	235.596
31229	166.586
31553	466.900
31894	214.498
32021	254.254
323	157.196
3295299	191.740
3314	203.954
334306	296.534
33637	160.609
338	154.660
33931	169.244
34231	626.513
3469	163.227
356759	371.182
366	230.495
3830	221.287
390807	204.876
398789	356.798
41017	186.435
4114	213.977
4118131	198.256
4133	172.697
4175	458.778
42607887	266.388
439174	238.149
439194	123.524
439378	216.756
439533	292.668
439653	365.469
439901	261.276
440735	286.101
442793	366.968
443210	508.249
444539	173.574
445154	259.326
445675	551.791
445858	218.576
44587010	262.246
4477	290.505
448873	496.355
449093	245.804
4534	345.579
45382232	264.306
4592	326.143
466268	259.758
466269	295.710
466270	269.039
466272	250.188
466273	246.568
4684	138.801
4685	143.325
4788	292.637
47936	413.525
4947	237.954
49852346	508.132
49852436	497.183
5013064	325.204
50591	150.714
5146	150.081
5150599	254.950
520466	199.596
522000	212.604
5262584	236.917
5270543	249.286
5280335	415.841
5280343	279.510
5280371	188.789
5280441	404.780
5280442	279.367
5280443	265.771
5280445	272.002
5280448	284.172
5280460	195.483
5280535	185.288
5280567	183.846
5280633	357.901
5280863	273.352
5280896	301.652
5280961	263.102
5281166	265.348
5281222	284.864
5281343	173.568
5281416	177.888
5281426	167.655
5281605	257.901
5281607	245.939
5281614	272.961
5281628	299.057
5281647	382.804
5281654	300.229
5281656	239.139
5281672	295.194
5281701	280.080
5281703	288.681
5281708	255.233
5281718	402.602
5281787	315.344
5281811	295.116
5281855	255.637
5284507	310.798
5284649	266.417
5315892	174.327
5317284	306.209
5317700	248.014
5318517	377.336
5318650	286.756
5319502	196.930
5320053	349.011
5320315	280.346
5320954	293.231
5321775	356.985
53232	469.408
5327038	859.081
5328791	209.203
53297394	324.178
53377390	438.292
5337757	201.544
5338490	218.536
53395455	202.011
5354284	195.321
53628457	403.369
5363817	261.471
5366264	219.137
53694162	250.474
5370052	261.885
5373729	256.553
5375199	296.948
5375469	210.961
5379033	368.940
5379096	324.184
5388063	314.609
5398649	254.349
54005809	246.260
54076935	307.342
54105512	229.021
5413034	251.922
54139758	274.308
54182336	205.377
54484293	291.023
5464170	357.670
54675769	640.991
54679630	177.206
5484169	210.303
55273731	198.518
55275176	211.954
56629747	245.014
577969	221.782
578495	221.514
5793	190.500
579331	250.506
5912039	273.127
592453	166.199
5959	310.665
6032	497.578
6047	221.769
6054	161.713
6072	445.539
610875	248.125
61151	191.423
611808	233.867
61334	198.268
615442	224.504
619834	259.776
6199	181.974
62389	242.625
6255462	272.250
6288	145.749
6293081	317.420
637540	182.865
637541	185.109
637542	186.012
637566	231.352
637775	247.367
6406	121.153
6466	335.448
64685	190.159
64802	253.887
64981	406.591
65090	192.761
65126	356.929
65243	375.760
6549	223.048
65727	445.519
66	153.220
66777173	276.826
66856475	300.790
67042231	252.478
67591	195.056
67650	217.878
67663	218.575
67854	169.421
67878	171.365
67970	139.478
68023	138.382
68071	261.876
68073	180.331
68099	159.790
681	187.892
68146761	281.588
68213	260.920
68247	275.373
68252	243.496
68289	145.037
68481	181.118
68484	218.165
68702973	250.878
689014	291.959
689043	196.687
689075	219.975
689111	262.906
6895	154.228
6914	167.450
69867	172.609
6989	195.458
6995	164.695
6996	149.702
6997	161.557
6998	141.302
7009598	286.845
7015695	265.680
7020	198.813
7041	179.248
7043	172.219
70775	184.401
70884183	490.877
7128	224.755
71339444	220.182
7136	250.792
7137	251.739
7150	162.562
7172	201.401
72	163.570
72218722	275.020
72276	296.436
72303	316.737
72304	232.205
7239	142.006
7257	156.120
7271	165.804
72864	163.939
72936	471.079
73399	373.826
73412	514.972
73571	296.385
736736	237.193
7410	152.345
7463	189.516
746449	290.739
7476	179.924
7500	151.382
7503	146.490
75074	228.457
7519	139.200
75702	238.640
7644	197.837
7654	208.578
77093	237.085
77309	229.153
77793	262.390
7780	271.447
780	188.554
7815	146.691
78838	224.921
79064	419.283
79367	219.128
7950	159.019
7964	126.226
7969	130.527
79964	165.240
802	193.045
802311	237.358
81046	232.058
8294	264.325
8363	256.164
83651	165.006
8417	216.472
8434	196.174
8449	153.067
8499	195.137
854026	272.600
85730	144.057
85773370	257.684
8629	499.184
8635	178.367
8653	228.727
8658	161.676
90120509	286.814
9025	169.613
