cid	SolventExcludedVolume	VoidVolume	VanDerWaalsVolume	PackingDensity
13	130.168	4.593	125.575	0.965
66	124.355	4.268	120.088	0.966
72	132.948	4.595	128.352	0.965
102	121.335	4.593	116.742	0.962
125	122.135	5.247	116.888	0.957
135	124.085	4.047	120.038	0.967
240	105.406	2.699	102.707	0.974
241	84.937	1.499	83.439	0.982
244	112.987	4.281	108.706	0.962
289	103.058	2.777	100.281	0.973
323	129.805	3.064	126.741	0.976
338	122.631	3.647	118.984	0.970
366	196.351	8.208	188.143	0.958
681	153.328	7.917	145.411	0.948
780	153.400	8.107	145.293	0.947
802	162.167	6.392	155.775	0.961
931	129.366	2.843	126.524	0.978
932	241.324	11.807	229.516	0.951
980	119.929	3.895	116.034	0.968
996	94.522	2.370	92.151	0.975
1140	103.179	2.988	100.191	0.971
1254	188.734	14.470	174.263	0.923
1738	170.289	8.447	161.842	0.950
2345	208.091	8.517	199.574	0.959
2355	184.667	7.551	177.116	0.959
3102	180.690	8.246	172.444	0.954
3314	170.347	8.349	161.998	0.951
3469	131.993	4.358	127.636	0.967
3830	187.448	6.474	180.974	0.965
4114	184.895	7.415	177.480	0.960
4133	140.473	3.930	136.543	0.972
4175	426.907	40.126	386.781	0.906
4477	252.748	9.083	243.665	0.964
4534	306.593	20.038	286.555	0.935
4592	294.117	25.375	268.742	0.914
4684	110.056	3.623	106.434	0.967
4685	115.289	3.579	111.709	0.969
4788	253.961	14.515	239.446	0.943
4947	197.650	10.591	187.059	0.946
5146	121.631	4.735	116.896	0.961
5793	160.888	10.969	149.920	0.932
5959	268.575	19.457	249.117	0.928
6032	458.569	45.035	413.534	0.902
6047	183.152	10.419	172.734	0.943
6054	131.891	6.817	125.075	0.948
6072	400.503	30.818	369.684	0.923
6199	155.498	3.759	151.740	0.976
6288	115.846	6.533	109.313	0.944
6406	92.343	4.682	87.661	0.949
6466	322.061	24.604	297.457	0.924
6549	188.731	14.111	174.620	0.925
6895	129.468	4.387	125.081	0.966
6914	138.614	4.952	133.662	0.964
6989	164.592	7.530	157.062	0.954
6995	136.759	6.159	130.600	0.955
6996	121.007	4.524	116.483	0.963
6997	131.000	6.025	124.975	0.954
6998	114.511	3.367	111.143	0.971
7020	173.405	4.303	169.102	0.975
7041	147.368	4.793	142.575	0.967
7043	139.330	4.768	134.562	0.966
7128	184.774	6.756	178.018	0.963
7136	211.151	13.392	197.758	0.937
7137	208.137	10.156	197.981	0.951
7150	132.314	3.952	128.362	0.970
7172	170.460	8.674	161.785	0.949
7239	114.871	3.451	111.420	0.970
7257	127.900	4.802	123.098	0.962
7271	139.069	5.086	133.983	0.963
7410	122.689	3.742	118.948	0.970
7463	157.949	8.016	149.932	0.949
7476	150.080	5.188	144.892	0.965
7500	122.949	5.575	117.374	0.955
7503	119.554	4.901	114.653	0.959
7519	111.889	2.958	108.931	0.974
7644	161.239	5.349	155.890	0.967
7654	171.012	9.042	161.970	0.947
7780	224.695	12.676	212.019	0.944
7815	119.842	3.697	116.146	0.969
7950	129.975	4.609	125.366	0.965
7964	100.058	2.488	97.570	0.975
7969	105.050	2.998	102.052	0.971
8294	227.855	17.466	210.389	0.923
8363	215.763	8.561	207.203	0.960
8417	183.777	6.075	177.703	0.967
8434	161.207	7.335	153.872	0.954
8449	124.359	4.280	120.079	0.966
8499	159.407	5.270	154.137	0.967
8629	458.896	42.751	416.145	0.907
8635	145.199	5.276	139.922	0.964
8653	193.888	6.200	187.688	0.968
8658	131.660	3.991	127.668	0.970
9025	138.593	4.500	134.093	0.968
9064	255.735	12.499	243.235	0.951
9229	110.128	2.377	107.751	0.978
9591	109.208	3.884	105.324	0.964
9604	105.422	3.039	102.383	0.971
9948	198.302	8.261	190.040	0.958
10154	310.198	17.782	292.416	0.943
10251	214.869	10.462	204.406	0.951
10680	202.883	5.859	197.025	0.971
10742	177.356	6.675	170.682	0.962
10748	156.258	4.441	151.817	0.972
10819	175.260	11.366	163.893	0.935
10943	114.903	3.589	111.314	0.969
11119	141.654	4.537	137.117	0.968
11124	93.704	3.275	90.429	0.965
11334	124.035	4.161	119.874	0.966
11502	185.937	4.853	181.084	0.974
11782	148.623	5.337	143.286	0.964
11833	147.183	4.142	143.041	0.972
11970	144.174	7.184	136.989	0.950
12167	126.719	3.733	122.986	0.971
12462	168.457	8.259	160.198	0.951
12463	144.230	5.179	139.051	0.964
12468	144.846	5.570	139.276	0.962
12820	166.329	5.617	160.712	0.966
13410	149.740	7.098	142.641	0.953
13601	123.781	6.898	116.883	0.944
14104	185.420	9.544	175.875	0.949
14307	147.582	4.988	142.594	0.966
14969	1371.393	169.486	1201.907	0.876
15541	308.023	22.668	285.356	0.926
15956	215.766	10.786	204.979	0.950
16321	144.723	4.076	140.646	0.972
16666	188.729	13.926	174.803	0.926
17090	178.642	12.071	166.571	0.932
17100	181.224	12.192	169.032	0.933
17946	147.684	5.136	142.549	0.965
18068	460.590	44.622	415.967	0.903
18950	161.402	11.490	149.912	0.929
19089	148.972	6.986	141.986	0.953
19212	491.622	42.787	448.836	0.913
19235	426.990	35.164	391.825	0.918
19309	122.798	6.475	116.323	0.947
19710	122.785	6.235	116.550	0.949
20421	170.565	8.060	162.505	0.953
20824	341.486	26.067	315.419	0.924
21648	171.108	9.709	161.399	0.943
21671	172.721	11.368	161.353	0.934
22812	165.556	8.797	156.759	0.947
26305	227.586	11.991	215.595	0.947
26945	564.935	39.194	525.742	0.931
26955	218.175	11.849	206.326	0.946
27582	138.871	4.987	133.884	0.964
30553	175.936	4.906	171.031	0.972
31211	196.998	10.293	186.705	0.948
31229	134.372	5.781	128.591	0.957
31553	425.020	26.442	398.578	0.938
31894	181.615	11.270	170.345	0.938
32021	212.478	10.007	202.472	0.953
33637	129.284	3.930	125.354	0.970
33931	140.296	7.861	132.435	0.944
34231	578.073	38.169	539.904	0.934
41017	156.757	5.793	150.964	0.963
47936	407.961	31.809	376.152	0.922
50591	123.962	3.496	120.466	0.972
53232	436.471	40.624	395.847	0.907
61151	158.848	5.527	153.321	0.965
