cid	smiles	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	MolecularWeight	HBondAcceptorCount	HBondDonorCount	RotatableBondCount	Complexity	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	TPSA	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount	VanDerWaalsVolume	Charge	SASA	AtomStereoCount	BondStereoCount	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino
UNKNOWN1	O=C(N[C@@H](CS)C(N[C@H](C(OC)=O)[C@@H](O)C)=O)OC(C)(C)C	128	9	-0.46741158118856135	0.40783713683881645	0.40783713683881645	0.46741158118856135	336.4099999999996	7	4	10	1113.7012484623756	-1.48	168.48220933698332	0	2	0	0	8	3	0	113.96000000000002	0	0	0	0	0	0	0	0	0	0.7692307692307693	0.9829536263384545	0.5525460038652561	0.0009684307643206703	0.1838536604696302	0.958889821009856	0.23425467954215365	4.141422799465898	-0.1518999999999997	82.63820000000004	22	307.60800000000006	0	446.416559454991	3	0	3	3	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	9	27	0	0	0
UNKNOWN2	OC[C@H]1O[C@H](OC2=C(F)C(F)=C(F)C(F)=C2F)[C@@H](O)[C@@H](O)[C@@H]1O	130	11	-0.45555665736580875	0.22905175861209032	0.22905175861209032	0.45555665736580875	346.2039999999999	6	4	7	948.232403647161	-1.5300000000000005	140.64828366913125	2	0	0	1	6	4	0	99.38000000000001	1	0	1	1	1	0	0	1	1	0.5	0.9627716725742363	0.3966196510375707	0.0007356467185428613	0.2703159382807595	0.8262818653537873	0.17421924437916814	3.5470732552347046	-0.4392	60.62720000000003	23	250.67200000000005	0	324.4015941887538	5	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	0
UNKNOWN3	OC[C@H]1O[C@H](OCC2=C(F)C(F)=C(F)C(F)=C2F)[C@@H](O)[C@@H](O)[C@@H]1O	136	11	-0.39356651509069396	0.21084892987029424	0.21084892987029424	0.39356651509069396	360.2309999999998	6	4	8	1041.768954187701	-1.3700000000000003	149.82316678386346	2	0	0	1	6	4	0	99.38000000000001	1	0	1	1	1	0	0	1	1	0.5384615384615384	0.9712129497893887	0.44880286596020774	0.0007538570717234858	0.23821294289226705	0.8824672698949504	0.2406396711728371	3.8032438523578054	-0.30140000000000017	64.78820000000003	24	265.88000000000005	0	347.60776707983	5	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	22	0	0	0	0
UNKNOWN4	OC[C@H]1O[C@@H](SCCCCCCCCCCCCCCC(O)=O)[C@H](NC(C)=O)[C@@H](O)[C@@H]1O	188	9	-0.481230389785217	0.30283955653218375	0.30283955653218375	0.481230389785217	477.6639999999995	8	5	22	2149.332502268849	-0.8700000000000001	256.86711221034057	1	1	0	1	8	5	0	136.32	1	0	1	0	0	0	0	1	1	0.9130434782608695	0.9863249670583741	0.5866190311259749	0.00036277829217308424	0.1648121942008449	0.9244837252845194	0.16070898207614204	5.815111455687852	2.8192	125.47990000000007	32	463.8560000000001	0	663.9385679494018	5	0	2	1	3	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0
UNKNOWN5	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)[C@H](SCC#N)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O	166	13	-0.3935674860928065	0.21680134116436992	0.21680134116436992	0.3935674860928065	438.45499999999976	12	7	14	1530.9887034160306	-1.05	207.64214381426754	2	1	0	2	12	7	0	201.95999999999998	2	0	2	0	0	0	0	2	2	0.875	0.9633448200246502	0.40303033366252805	0.0005550842074647114	0.2682662068387934	0.9134574321115344	0.3051430188285356	3.906646311014163	-3.9889199999999954	96.06950000000002	29	367.0400000000001	0	507.0003552479276	10	0	1	1	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	34	0	0	0	0
UNKNOWN6	O[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)[C@H](O)[C@@H](OC3=CC=CC=C3)O[C@@H]1CO[C@@H]4[C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4	228	16	-0.46198694260166123	0.22873339640500678	0.22873339640500678	0.46198694260166123	580.5360000000018	16	10	19	2341.918662310401	-1.58	279.05211720436364	4	0	0	3	16	10	0	257.67999999999995	3	0	3	1	1	0	0	3	3	0.75	0.9190761881579065	0.2474880357465849	0.00012723507124302058	0.39407989083577	0.7170469350606699	0.16659432429894316	5.099244338196632	-5.4862999999999875	126.10400000000003	40	484.8640000000001	0	648.9671625313646	15	0	0	0	10	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	60	57	0	0	0	0
13	C1=CC(=C(C=C1Cl)Cl)Cl	48	3	-0.08428709445773132	0.06547384247015099	0.06547384247015099	0.08428709445773132	181.449	0	0	0	232.30309024251744	0.08999999999999991	72.5561133006454	1	0	0	0	0	0	0	0.0	0	0	0	1	1	0	0	0	0	0.0	0.9729294086581298	0.4669175956035482	0.0029326070233009743	0.23110250056661402	0.7688974994398458	1.2425438815742664e-11	2.500504711807764	3.6468000000000007	41.47200000000001	9	128.87200000000004	0	145.9194235673199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	C1=CC(=C(C=C1Cl)O)Cl	48	3	-0.5063397423514364	0.29317542957433	0.29317542957433	0.5063397423514364	163.00300000000004	1	1	1	325.97286772671646	-0.4000000000000001	68.53872158425483	1	0	0	0	1	1	0	20.23	0	0	0	1	1	0	0	0	0	0.0	0.9856171792747976	0.5786960685060355	0.004993912132331239	0.1689934197487916	0.8310065802834622	5.109323054916404e-11	2.4578144153212387	2.6990000000000003	38.12680000000001	9	122.59200000000003	0	150.46129632295245	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	C1=CC(=C(C=C1C(=O)O)O)O	58	4	-0.5042595843842756	0.33532252564441734	0.33532252564441734	0.5042595843842756	154.12100000000004	4	3	3	462.4125207061952	-1.71	71.03040236591397	1	0	0	0	4	3	0	77.76	0	0	0	1	1	0	0	0	0	0.0	0.9779549650469126	0.5043238895091516	0.004005204882798085	0.2088159149588265	0.791495385919132	0.00267210998051562	2.478180383078359	0.7959999999999998	36.7309	11	129.01600000000002	0	173.35696236093233	0	0	1	0	0	2	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
102	C1=CC(=CC(=C1)O)CO	48	2	-0.5079548511567477	0.2930923380118064	0.2930923380118064	0.5079548511567477	124.13899999999994	2	2	3	446.2352141093613	-1.02	64.79791725588258	1	0	0	0	2	2	0	40.46	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9565862898794315	0.3684097452282121	0.00470974806542472	0.29144925804452493	0.7745775641005462	0.16910206555194884	2.1669605253676636	0.8844999999999996	34.029599999999995	9	117.17600000000003	0	173.95012522056555	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
