cid	SESA
10008	114.563
10057850	162.322
100617	241.574
10114	485.302
10154	343.609
101693	226.266
101763507	925.881
10176665	259.899
102	150.057
10225624	519.893
102334912	211.045
10251	240.010
102928	275.902
103607	308.376
10441749	144.627
10467474	256.107
10680	232.240
10681515	280.683
107126	266.731
10742	214.941
10748	186.063
107670	666.772
10778	185.642
107905	429.853
10796995	178.937
107985	355.184
10819	206.743
108507	239.489
10869	160.055
10922465	280.947
10943	143.629
10955174	251.378
10955672	261.943
10988376	235.955
11032058	252.892
11085875	237.989
111037	252.259
11105361	157.137
11119	172.684
11124	127.474
11149475	268.758
11240776	186.564
11334	151.466
11368162	254.091
1140	131.715
11446884	186.650
114829	262.686
114840	296.695
11502	218.647
11507421	288.199
11727234	294.532
11782	174.296
11833	173.341
11876195	283.044
11895	175.823
119011	143.586
119087140	226.348
11970	177.267
12167	157.900
12209506	247.394
12240636	254.453
122724	459.441
122738	542.570
122850	280.455
12304694	260.380
123059	162.486
12310492	348.010
123112	149.060
123866419	245.236
12398446	229.099
12398447	238.405
124219	292.006
12426239	211.940
12462	204.252
12463	171.247
12468	171.555
125	150.030
12514018	289.632
1254	213.817
12553720	286.354
12560	785.430
12669351	301.333
12689827	246.465
12693379	231.980
12731045	247.383
12731046	250.972
12732963	172.239
12820	199.164
128861	279.330
129320322	425.986
129865704	250.493
129883109	246.413
13	158.297
13015717	186.670
13031970	163.832
13247	209.406
133766	367.766
13410	183.145
135	155.885
135403798	521.880
13601	152.220
136173	147.135
137530204	257.867
137614	216.771
13807896	312.943
1383603	259.110
13846689	297.327
138966	148.410
141006514	303.905
14104	213.919
142093	164.474
142094	161.926
14299523	286.673
14307	178.915
14349486	294.422
143754	134.023
14382157	218.375
14427423	377.419
14565843	261.986
145858	226.412
146047	294.808
147157	263.106
147795	272.378
1481671	202.218
148791698	264.503
14909454	225.787
14969	1362.228
151515	250.071
15262172	258.613
154128759	257.530
1548943	385.413
1549095	213.939
155011	319.170
155240	227.588
15541	335.172
15655238	136.517
157153	172.954
15717462	177.545
15725797	301.509
15731437	283.396
15956	259.939
15965	195.823
16125	170.864
16126	171.612
16219484	552.887
162397	211.284
162886613	312.086
163085752	333.906
166154999	268.854
1666397	286.263
16666	216.999
16668	183.157
1695558	290.628
17090	217.803
17100	209.763
173273	333.742
1738	208.798
174174	329.186
174375	329.291
176096	345.611
179615	192.150
182325	198.595
188297	267.306
18950	190.330
19089	183.745
19212	482.517
19309	154.635
19710	156.355
20083560	246.243
20421	204.880
20452412	257.868
20596579	195.382
20824	382.555
20976640	254.002
213728	260.550
21465661	220.403
21611827	267.723
21648	207.683
21671	200.506
21722188	435.289
21928631	202.495
21932272	279.599
220184	178.263
220295	225.055
22096539	141.071
221165	180.265
222284	492.040
222393	258.704
223144	253.662
22503	187.538
226487	287.575
22716855	269.105
227829	283.337
22812	199.976
231496	168.946
2345	243.321
2355	215.775
23581946	466.092
237228	187.583
237447	257.412
238398	149.085
240	132.559
241	111.824
242065	256.050
244	143.373
244690	260.507
247344	270.537
248021	251.913
25056407	435.981
255587	228.320
261391	236.371
261393	235.559
261394	233.791
261395	234.828
261397	240.026
26305	259.245
26945	599.410
26955	248.211
271816	174.425
2733787	387.073
2736603	173.561
2755679	217.885
27582	166.405
2759713	195.344
2817223	256.142
2817225	305.630
2825024	274.333
285033	574.739
285371	158.093
28659	143.141
289	128.317
3001686	414.380
3019951	312.712
3020659	203.010
30479	231.040
30553	211.651
3085295	276.559
3102	212.969
31211	238.989
31229	168.776
31244	165.613
31553	467.266
31894	213.463
3197	1125.230
32021	254.334
323	151.867
3280140	555.375
3295299	191.436
330542	359.868
3314	206.117
334306	296.727
338	152.626
33931	178.365
34140	264.339
34231	633.175
3469	166.963
356759	365.437
366	234.713
3830	221.968
390807	204.195
398789	351.033
41017	186.270
4114	213.554
4118131	202.578
4133	169.427
4175	460.753
42268	246.888
42607887	267.415
439174	238.465
439194	126.731
439378	222.152
439533	297.125
439653	360.260
440735	283.464
44259	443.613
442793	358.924
442985	460.302
444539	175.285
445154	256.855
445858	220.417
44587007	243.641
44587010	256.404
4477	289.383
449093	245.817
45069335	286.189
45117142	269.265
4534	343.727
45382232	262.358
4592	332.095
466268	260.783
466272	249.162
466273	245.621
4684	138.353
4685	140.936
4788	295.434
47936	414.626
4947	239.976
50591	151.234
5146	151.481
5150599	255.037
520466	196.373
521184	170.033
522000	211.460
5262584	238.144
5270543	246.663
5280335	419.686
5280343	277.202
5280371	196.211
5280440	1005.511
5280441	401.258
5280442	281.117
5280443	256.787
5280445	271.081
5280448	284.513
5280460	200.797
5280535	183.969
5280567	185.903
5280633	354.824
5280863	266.505
5280896	299.436
5280961	261.854
5281166	256.332
5281222	283.473
5281343	176.331
5281416	177.220
