cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	smiles	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	MolecularWeight	HBondAcceptorCount	HBondDonorCount	RotatableBondCount	Complexity	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	TPSA	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount	VanDerWaalsVolume	Charge	SASA	AtomStereoCount	BondStereoCount	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
13	-0.010853945955483627	-0.5429031580106519	1.1557854382134904	0.09727241248410778	-1.062086175883056	-0.2918735563401777	-0.37842560660117386	0.5911095082615514	0.07661590352775094	-0.32201852879791454	0.3003719709073342	0.4230937419473352	158.297	C1=CC(=C(C=C1Cl)Cl)Cl	48	3	-0.08428709445773132	0.06547384247015099	0.06547384247015099	0.08428709445773132	181.449	0	0	0	232.30309024251744	0.08999999999999991	72.5561133006454	1	0	0	0	0	0	0	0.0	0	0	0	1	1	0	0	0	0	0.0	0.9729294086581298	0.4669175956035482	0.0029326070233009743	0.23110250056661402	0.7688974994398458	1.2425438815742664e-11	2.500504711807764	3.6468000000000007	41.47200000000001	9	125.210	0	145.9194235673199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129.595	4.384	0.966
66	0.4898354762300756	-0.816054325414698	1.37288660478765	0.12511750243183622	-0.3945741372016455	-0.3099423147729587	-0.028616437592454563	0.48452048854372765	0.06029738431572006	-0.20354359982992856	0.38580974973389437	0.5236503327324015	154.228	C1=CC(=C(C=C1Cl)O)Cl	48	3	-0.5063397423514364	0.29317542957433	0.29317542957433	0.5063397423514364	163.00300000000004	1	1	1	325.97286772671646	-0.4000000000000001	68.53872158425483	1	0	0	0	1	1	0	20.23	0	0	0	1	1	0	0	0	0	0.0	0.9856171792747976	0.5786960685060355	0.004993912132331239	0.1689934197487916	0.8310065802834622	5.109323054916404e-11	2.4578144153212387	2.6990000000000003	38.12680000000001	9	119.849	0	150.46129632295245	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.208	4.359	0.965
72	0.06095992816601902	-0.46072028002838117	0.8971371759385924	-0.5286496758118325	0.7371486609132694	-0.4520702163813522	0.9831841729253967	0.10309257377954319	-0.28264915296242565	0.3008821409106958	0.3615825193335305	-0.04905875328400935	163.492	C1=CC(=C(C=C1C(=O)O)O)O	58	4	-0.5042595843842756	0.33532252564441734	0.33532252564441734	0.5042595843842756	154.12100000000004	4	3	3	462.4125207061952	-1.71	71.03040236591397	1	0	0	0	4	3	0	77.76	0	0	0	1	1	0	0	0	0	0.0	0.9779549650469126	0.5043238895091516	0.004005204882798085	0.2088159149588265	0.791495385919132	0.00267210998051562	2.478180383078359	0.7959999999999998	36.7309	11	128.010	0	173.35696236093233	0	0	1	0	0	2	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	132.238	4.227	0.968
102	0.6273093965622581	-0.8191792826886171	1.544760021278847	-0.23229597143576422	0.0018645417921713126	-0.06357884142152012	-0.1681819049145238	-0.13475466922372822	0.005411053023754784	0.028697018123624067	0.16556481289658675	0.06723736804860707	150.057	C1=CC(=CC(=C1)O)CO	48	2	-0.5079548511567477	0.2930923380118064	0.2930923380118064	0.5079548511567477	124.13899999999994	2	2	3	446.2352141093613	-1.02	64.79791725588258	1	0	0	0	2	2	0	40.46	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9565862898794315	0.3684097452282121	0.00470974806542472	0.29144925804452493	0.7745775641005462	0.16910206555194884	2.1669605253676636	0.8844999999999996	34.029599999999995	9	117.146	0	173.95012522056555	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	122.431	5.285	0.957
125	0.7926190117379505	-0.4333146726311636	1.5997101966814478	-0.17382812788190907	0.12347183947673826	0.09422795776428021	-0.10887350007018748	-0.14498402353201253	0.06251775062346068	0.00759998231068083	0.22391377911133853	0.12873802464367537	150.030	C1=CC(=CC=C1CO)O	48	2	-0.5079666212710555	0.2930920706250183	0.2930920706250183	0.5079666212710555	124.13899999999994	2	2	3	416.98521410936127	-1.02	64.79791725588258	1	0	0	0	2	2	0	40.46	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9856431707236181	0.5782164484526287	0.008038796663608528	0.1688417602546615	0.8414404433685799	0.07658705907638629	2.240451921027821	0.8844999999999994	34.029599999999995	9	116.952	0	171.0246564640197	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	121.382	4.431	0.963
135	0.1515674569297665	-0.19299778469129084	0.9560597106153464	-0.7813875460087794	0.5992162443348195	-0.5031885207625074	0.9185433288758109	0.03321450327236212	-0.2881643426338719	0.174889346480878	0.29033378840212776	-0.1140316186107728	155.885	C1=CC(=CC=C1C(=O)O)O	52	3	-0.507966178790397	0.33518285963636446	0.33518285963636446	0.507966178790397	138.12200000000004	3	2	2	417.2336833016151	-1.51	66.14949835559072	1	0	0	0	3	2	0	57.53	0	0	0	1	1	0	0	0	0	0.0	0.9864378731888277	0.5882259052957727	0.006519422015236668	0.16413507345690154	0.8382811255919185	0.022231972637477223	2.3829797270764654	1.0903999999999996	35.06609999999999	10	120.182	0	168.5642333755948	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	124.204	4.023	0.968
240	-0.28786465261506783	-0.1644338050487654	0.994440093005588	-0.0388499307188054	-0.9030178131677923	-0.4689989602350069	0.08069331618856203	0.24177593648912563	-0.16502552911735724	-0.5967066126448057	-0.5062424465718516	-0.31348849205909546	132.559	C1=CC=C(C=C1)C=O	40	1	-0.2978964116504968	0.14954802883036308	0.14954802883036308	0.2978964116504968	106.12399999999995	1	0	1	384.126426236108	-1.11	56.387690334944224	1	0	0	0	1	0	0	17.07	0	0	0	1	1	0	0	0	0	0.0	0.9750912967715588	0.48217923685050135	0.008435291931165947	0.22180388400647946	0.7781961160689957	1.9507688755385587e-10	1.9797169065000186	1.4990999999999999	31.829499999999996	8	102.710	0	146.31029773959847	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.532	2.822	0.973
241	0.08601281635213141	0.1598498941634139	1.0890791965836195	-0.11171643696522994	-1.1330407184568478	0.09024612480221104	-0.34381357657392536	0.2132648288029498	-0.09469877335336795	-0.16545833839683158	0.04118608625958241	-0.054303550670674695	111.824	C1=CC=CC=C1	30	0	-0.062268570782092456	0.062268570782092456	0.062268570782092456	0.062268570782092456	78.11399999999996	0	0	0	226.30309024251744	-0.78	45.86122612050386	1	0	0	0	0	0	0	0.0	0	0	0	1	1	0	0	0	0	0.0	0.8741353288670483	0.2506149780716751	0.006073075238158944	0.48568243413417506	0.5143175658733032	2.602240738530625e-11	1.494069193313397	1.6866	26.441999999999993	6	83.429	0	125.40583006502338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.967	1.538	0.982
244	0.3021272936044197	-0.10902438968051092	1.49717679017577	-0.3796213930193219	-0.6015063686191428	0.02583005536667344	-0.5556454601367163	-0.2182236297332415	-0.272473168511079	-0.028063876260785065	0.16368066328620307	-0.12151127782547928	143.373	C1=CC=C(C=C1)CO	42	1	-0.3916804684282009	0.21052819736346176	0.21052819736346176	0.3916804684282009	108.13999999999994	1	1	2	399.88038195635505	-0.8200000000000001	59.91701324555934	1	0	0	0	1	1	0	20.23	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9679354271267772	0.4269171263831912	0.008020267925141659	0.2511991419430081	0.8305855310544102	0.14083638380370217	1.992041535432983	1.1788999999999998	32.364799999999995	8	108.535	0	162.47799319042082	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	113.032	4.497	0.960
289	0.4449984971183334	-0.5897115420079349	1.3317989312676368	-0.02199214978017045	-0.4737881067126119	-0.26008251779928276	0.09850237795628539	0.041390866665020225	-0.2652617725272765	0.005004477693583641	0.19103598238997513	0.12769494252065097	128.317	C1=CC=C(C(=C1)O)O	42	2	-0.5042601246702529	0.2932936205672968	0.2932936205672968	0.5042601246702529	110.11199999999995	2	2	2	331.0747413207328	-1.18	55.62303414115035	1	0	0	0	2	2	0	40.46	0	0	0	1	1	0	0	0	0	0.0	0.9175321102818713	0.2814193837461674	0.004047789475054137	0.39766169868582496	0.6023383013172219	1.2247803625997196e-11	1.8434742444253873	1.0977999999999994	29.771599999999992	8	100.079	0	143.01938332165977	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.631	2.552	0.975
