cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount_2	VanDerWaalsVolume	SASA	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
13	-0.4287825978477722	0.21317183967228126	0.6602969078947866	0.5257066022684458	-0.5511219536734134	0.0007384126291155924	-1.045321094712884	0.22028523241396117	-0.0881721901425558	0.22838657972750107	-0.20060332981591344	0.5316021670810551	162.440	181.4	C1=CC(=C(C=C1Cl)Cl)Cl	0.0	94	0	0	0	0	9	0	0	48	3	-0.08428709445773132	0.06547384247015099	0.06547384247015099	0.08428709445773132	0.08999999999999991	72.5561133006454	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0.9728883737290677	0.46663907485964623	0.00289091994355784	0.23127518730466956	0.768724812787407	2.732049646337274e-10	2.517245695594495	3.6468000000000007	41.47200000000001	9	125.575	147.00710284168758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130.168	4.593	0.965
66	-0.13404603685162517	0.553137027335425	1.0174676292890426	0.8957706267216914	-0.2427085063903814	-0.22693657731198083	-0.5135704207325431	0.06034824239744686	-0.14218463891802993	0.2500214302644276	-0.13631723302929344	0.6210541471713492	153.220	163.0	C1=CC(=C(C=C1Cl)O)Cl	20.2	97	0	1	1	0	9	0	0	48	3	-0.5063397423514364	0.29317542957432996	0.29317542957432996	0.5063397423514364	-0.4000000000000001	68.53872158425483	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0.0	0.9841571054576964	0.5624085904304692	0.004751303145164538	0.17729859496659528	0.8227014050454008	2.384654074872069e-11	2.4477344687687426	2.6990000000000003	38.12680000000001	9	120.088	149.701091667182	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.355	4.268	0.966
72	-0.44859338492098444	0.20418810908347848	0.7541721137476814	0.9757738516902501	0.5090341877913397	0.2510550204402944	0.8031648089852789	-0.030172002969523073	-0.6556299348126103	0.19686656653215998	0.1859616998326028	0.04011365503804115	163.570	154.12	C1=CC(=C(C=C1C(=O)O)O)O	77.8	157	0	3	4	1	11	0	0	58	4	-0.5042595843842756	0.33532252564441734	0.33532252564441734	0.5042595843842756	-1.71	71.03040236591397	1	0	0	0	4	3	0	0	0	0	1	1	0	0	0	0	0.0	0.9759572598766842	0.4885650139922838	0.0038396220378031183	0.21796198497443167	0.7825401746922404	0.004320869064175792	2.463441831087883	0.7959999999999998	36.7309	11	128.352	176.11937923474605	1	0	0	2	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	132.948	4.595	0.965
102	-0.06452654975047614	0.6047359684117938	0.8473646220401003	1.4281043506510949	-0.25833018975947547	-0.17576906358100253	-0.3301534204278686	0.09054024799080836	0.051693632436406844	-0.0663698283001243	0.14983821669285355	0.27735439765151537	151.843	124.14	C1=CC(=CC(=C1)O)CO	40.5	83	0	2	2	1	9	0	0	48	2	-0.5079548511567477	0.29309233801180634	0.29309233801180634	0.5079548511567477	-1.02	64.79791725588258	1	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9488966174180294	0.34889148389874625	0.0038715281388054107	0.3155870869548084	0.6953807993505566	0.07605882113450393	2.1470589742912565	0.8844999999999996	34.029599999999995	9	116.742	171.35182482301894	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	121.335	4.593	0.962
125	0.2549820717056624	0.3053982762350182	0.8292240285759092	1.5057743320719308	-0.3152105023947723	-0.2452546075212794	-0.27360527251857825	-0.07441773754092178	0.02561532150814724	0.0909938780304545	0.1981450377841769	0.2538974470329539	151.929	124.14	C1=CC(=CC=C1CO)O	40.5	75	0	2	2	1	9	0	0	48	2	-0.5079666212710555	0.29309207062501824	0.29309207062501824	0.5079666212710555	-1.02	64.79791725588258	1	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9831285628148517	0.5490510658736198	0.008199246473060797	0.18291590684684614	0.8888239839069402	0.15406569943773096	2.223789470019807	0.8844999999999994	34.029599999999995	9	116.888	171.6978012367682	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	122.135	5.247	0.957
135	-0.27860116187963935	-0.007211105393826778	0.7197216171676356	1.11809045404231	0.44467515862198237	0.5869373219934562	0.6641910086515352	-0.02527378048345816	-0.6930772207026279	0.32515432926700744	0.23123435205331314	-0.15758707911747324	155.709	138.12	C1=CC(=CC=C1C(=O)O)O	57.5	125	0	2	3	1	10	0	0	52	3	-0.507966178790397	0.33518285963636446	0.33518285963636446	0.507966178790397	-1.51	66.14949835559072	1	0	0	0	3	2	0	0	0	0	1	1	0	0	0	0	0.0	0.9867367566908073	0.5920327172419217	0.006573735274607409	0.16232859574118905	0.8380936652787991	0.0033808460541524974	2.384828044193494	1.0903999999999996	35.06609999999999	10	120.038	167.8500875729966	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	124.085	4.047	0.967
240	-0.5508240268729299	-0.17164611206295213	0.48771232716278257	0.526674033763309	-0.6129393395786112	0.3087544098652134	-0.8127837977375038	0.4844876453460725	-0.5116920982246216	0.2761938118309816	-0.6575539574820826	-0.24285644291304262	129.544	106.12	C1=CC=C(C=C1)C=O	17.1	72	0	0	1	1	8	0	0	40	1	-0.2978964116504968	0.14954802883036308	0.14954802883036308	0.2978964116504968	-1.11	56.387690334944224	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.0	0.9741352574246376	0.47528438302913995	0.008295695566465224	0.22596570589856174	0.7740342941137118	1.9295074787791636e-11	1.9725391271429649	1.4990999999999999	31.829499999999996	8	102.707	146.03244747922773	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.406	2.699	0.974
241	-0.14977584848163256	-0.34377646625016667	0.5835119141707142	0.539569093167008	-0.8104773401176011	0.2494423071198548	-1.044810238253244	0.1654045837599648	0.04045416777648369	-0.03733443178486237	-0.13326539840319712	0.02250949585890168	109.052	78.11	C1=CC=CC=C1	0.0	15	0	0	0	0	6	0	0	30	0	-0.062268570782092456	0.062268570782092456	0.062268570782092456	0.062268570782092456	-0.78	45.86122612050386	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0.8740596791100048	0.2506033393579421	0.006080478923010298	0.4858185642337222	0.5141814357708503	1.3294147677613402e-11	1.4927525125380494	1.6866	26.441999999999993	6	83.439	126.29612553135537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.937	1.499	0.982
244	-0.02073802717653149	-0.08116975323903709	0.4353332560518982	1.28397647857777	-0.6417362698523447	0.13485375410342323	-0.8125247133026071	0.2815908354499839	0.0030531110849194307	-0.3339322162827096	0.1352167295706458	0.14037083409658874	140.890	108.14	C1=CC=C(C=C1)CO	20.2	55	0	1	1	1	8	0	0	42	1	-0.3916804684282009	0.21052819736346176	0.21052819736346176	0.3916804684282009	-0.8200000000000001	59.91701324555934	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.965019019339116	0.40957977158040754	0.007682922567689273	0.26217988541032405	0.8208442753859287	0.16245289551947883	1.9811002251383845	1.1788999999999998	32.364799999999995	8	108.706	161.76254034267114	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	112.987	4.281	0.962
289	-0.15465472340379724	0.35843313987581366	0.9517952591453441	0.9839523645075943	-0.4742373274369479	-0.06224605514835448	-0.4532060107703487	0.3351594407469631	-0.2568919999657407	-0.018736385005564928	-0.019649277688095955	0.3427986216060379	128.491	110.11	C1=CC=C(C(=C1)O)O	40.5	62	0	2	2	0	8	0	0	42	2	-0.5042601246702529	0.29329362056729674	0.29329362056729674	0.5042601246702529	-1.18	55.62303414115035	1	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0.0	0.9157597914539424	0.27897317189662113	0.003983606112188905	0.40172628039030744	0.5982737196120724	1.0229576437836728e-11	1.8425925916088397	1.0977999999999994	29.771599999999992	8	100.281	145.23691728837588	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.058	2.777	0.973
