enzyme	reaction	cid
UGT71G1	0	5281166
UGT78G1	0	5281166
UGT72B10	0	5281166
UGT74P1	0	5281166
UGT73A10	0	5281166
UGT74N1	0	5281166
UGT75L2	0	5281166
UGT85A20	0	5281166
UGT73Q1	0	5281166
UGT73A12	0	5281166
UGT86A5	0	5281166
UGT94E2	0	5281166
UGT84C2	0	5281166
UGT85B2	0	5281166
UGT74H5	0	5281166
UGT88C4	0	5281166
UGT74H6	0	5281166
UGT75E3	0	5281166
OleD	0	5375199
OleD	0	12304694
At_71C1	0	5280896
At_71C2	0	5280896
At_71C3	0	5280896
At_71C4	0	5280896
At_71C5	0	5280896
At_71B8	0	5280896
At_71B6	1	5280896
At_71B5	0	5280896
At_71B1	0	5280896
At_88A1	0	5280896
At_72E2	0	5280896
At_72E3	0	5280896
At_72E1	0	5280896
At_72D1	0	5280896
At_72C1	0	5280896
At_72B3	0	5280896
At_72B1	0	5280896
At_73C3	0	5280896
At_73C4	0	5280896
At_73C5	0	5280896
At_73C6	0	5280896
At_73C1	0	5280896
At_73C7	0	5280896
At_73B2	0	5280896
At_73B3	0	5280896
At_73B4	0	5280896
At_73B5	0	5280896
At_73B1	1	5280896
At_89B1	0	5280896
At_89C1	0	5280896
At_84A3	0	5280896
At_84A4	0	5280896
At_84A2	1	5280896
At_84A1	1	5280896
At_84B1	1	5280896
At_84B2	1	5280896
At_75B1	1	5280896
At_75D1	0	5280896
At_74F1	0	5280896
At_74F2	0	5280896
At_74B1	0	5280896
At_76E5	0	5280896
At_76E4	0	5280896
At_76E1	0	5280896
At_76E2	0	5280896
At_76E12	0	5280896
At_76E11	0	5280896
At_76C4	0	5280896
At_85A5	0	5280896
At_85A4	0	5280896
At_78D2	0	5280896
At_78D1	0	5280896
VVGT1	0	5280896
At_71C1	0	12304694
At_71C2	0	12304694
At_71C3	0	12304694
At_71C4	0	12304694
At_71C5	0	12304694
At_71B8	0	12304694
At_71B6	0	12304694
At_71B5	0	12304694
At_71B1	0	12304694
At_88A1	0	12304694
At_72E2	0	12304694
At_72E3	0	12304694
At_72E1	0	12304694
At_72D1	0	12304694
At_72C1	0	12304694
At_72B3	0	12304694
At_72B1	0	12304694
At_73C3	0	12304694
At_73C4	0	12304694
At_73C5	0	12304694
At_73C6	0	12304694
At_73C1	0	12304694
At_73C7	0	12304694
At_73B2	0	12304694
At_73B3	0	12304694
At_73B4	0	12304694
At_73B5	0	12304694
At_73B1	0	12304694
At_89B1	0	12304694
At_89C1	0	12304694
At_84A3	0	12304694
At_84A4	0	12304694
At_84A2	1	12304694
At_84A1	1	12304694
At_84B1	0	12304694
At_84B2	0	12304694
At_75B1	1	12304694
At_75D1	0	12304694
At_74F1	0	12304694
At_74F2	0	12304694
At_74B1	0	12304694
At_76E5	0	12304694
At_76E4	0	12304694
At_76E1	0	12304694
At_76E2	0	12304694
At_76E12	0	12304694
At_76E11	0	12304694
At_76C4	0	12304694
At_85A5	0	12304694
At_85A4	0	12304694
At_78D2	0	12304694
At_78D1	0	12304694
VVGT1	0	12304694
At_71C1	1	7005
At_71C2	1	7005
At_71C5	0	7005
At_71B6	0	7005
At_71B1	0	7005
At_72B1	1	7005
At_73C4	0	7005
At_73C1	0	7005
At_73B2	0	7005
At_73B3	0	7005
At_73B4	0	7005
At_73B5	0	7005
At_75B1	0	7005
At_75D1	0	7005
At_74F1	0	7005
At_74F2	0	7005
At_74B1	0	7005
At_76E1	0	7005
At_76E2	0	7005
At_76E12	0	7005
At_76E11	0	7005
At_85A4	0	7005
At_78D2	0	7005
Nt_UGT1	0	69867
Pt_UGT1	0	69867
At_72B1	0	69867
At_72E2	0	69867
Mt_71G1	0	69867
Mt_78G1	0	69867
UGT74B1	1	27582
UGT74B1	1	11334
At_71C1	1	7271
At_71C2	1	7271
At_71C5	0	7271
At_71B8	0	7271
At_71B6	0	7271
At_88A1	1	7271
At_72E2	1	7271
At_72D1	1	7271
At_72C1	1	7271
At_72B3	1	7271
At_72B1	1	7271
At_73C3	1	7271
At_73C5	1	7271
At_73C6	1	7271
At_73B3	0	7271
At_73B1	1	7271
At_75B1	0	7271
At_74B1	0	7271
At_76E1	0	7271
At_76E2	0	7271
At_76E11	0	7271
At_78D2	0	7271
UGT74B1	1	7271
UGT74B1	1	6914
UGT74B1	1	8449
UGT74B1	1	66
At_71C3	1	3469
At_71C4	1	3469
At_71B8	0	3469
At_71B6	0	3469
At_71B5	0	3469
At_71B1	1	3469
At_88A1	0	3469
At_72E1	0	3469
At_72D1	1	3469
At_72C1	0	3469
At_72B1	1	3469
At_73C3	0	3469
At_73C4	0	3469
At_73C5	0	3469
At_73C6	0	3469
At_73C7	0	3469
At_73B2	0	3469
At_73B3	1	3469
At_73B4	1	3469
At_73B5	0	3469
At_73B1	0	3469
At_89B1	1	3469
At_89C1	0	3469
At_84A3	0	3469
At_84A4	0	3469
At_84A2	0	3469
At_84B1	0	3469
At_84B2	0	3469
At_75B1	1	3469
At_75D1	0	3469
At_74F2	0	3469
At_74B1	0	3469
At_76E5	0	3469
At_76E1	0	3469
At_76E2	0	3469
At_76E12	0	3469
At_76E11	0	3469
At_76C4	0	3469
At_85A4	0	3469
At_78D2	0	3469
At_78D1	0	3469
VVGT1	0	3469
UGT71G1	1	3469
UGT78G1	0	3469
OleD	1	3469
UGT72B10	1	3469
UGT74P1	1	3469
UGT73A10	1	3469
UGT74N1	0	3469
UGT75L2	0	3469
UGT85A20	0	3469
UGT73Q1	0	3469
UGT73A12	0	3469
UGT86A5	0	3469
UGT94E2	0	3469
UGT84C2	0	3469
UGT85B2	0	3469
UGT74H5	0	3469
UGT88C4	0	3469
UGT74H6	0	3469
UGT75E3	0	3469
UGT71L2	1	6997
UGT71L2	1	637540
UGT71L2	0	271816
UGT71L2	0	11970
PpUGT85A2	1	6054
At_71C1	1	2736603
At_71C2	1	2736603
At_71C5	0	2736603
At_71B6	0	2736603
At_88A1	1	2736603
At_72B3	1	2736603
At_72B1	1	2736603
At_73C3	1	2736603
At_73C5	1	2736603
At_73C6	1	2736603
At_73B4	0	2736603
At_73B5	0	2736603
At_75B1	0	2736603
At_75D1	0	2736603
At_74F2	1	2736603
At_76E11	0	2736603
At_71C1	1	637540
At_71C2	1	637540
At_71C3	1	637540
At_71C4	1	637540
At_71C5	0	637540
At_71B8	1	637540
At_71B6	0	637540
At_71B5	0	637540
At_71B1	1	637540
At_88A1	0	637540
At_72E2	1	637540
At_72C1	0	637540
At_72B3	0	637540
At_72B1	0	637540
At_73C3	0	637540
At_73C4	0	637540
At_73C5	0	637540
At_73C6	0	637540
At_73C1	0	637540
At_73C7	0	637540
At_73B2	0	637540
At_73B3	0	637540
At_73B4	0	637540
At_73B5	0	637540
At_73B1	0	637540
At_89C1	0	637540
At_84A3	0	637540
At_84A2	1	637540
At_84A1	1	637540
At_84B1	0	637540
At_84B2	0	637540
At_75B1	1	637540
At_76E5	0	637540
At_76E2	0	637540
At_76E12	0	637540
At_76E11	0	637540
At_76C4	0	637540
At_85A5	0	637540
At_85A4	0	637540
At_78D2	0	637540
At_78D1	0	637540
VVGT1	0	637540
UGT71G1	1	637540
UGT78G1	0	637540
OleD	0	637540
UGT72B10	1	637540
UGT74P1	0	637540
UGT73A10	1	637540
UGT74N1	0	637540
UGT75L2	1	637540
UGT85A20	0	637540
UGT73Q1	0	637540
UGT73A12	1	637540
UGT86A5	0	637540
UGT94E2	0	637540
UGT84C2	1	637540
UGT85B2	0	637540
UGT74H5	1	637540
UGT88C4	0	637540
UGT74H6	1	637540
UGT75E3	0	637540
At_71C1	0	7058
At_71C3	0	7058
At_71C4	0	7058
At_71C5	0	7058
At_71B8	0	7058
At_71B6	0	7058
At_71B1	0	7058
At_88A1	1	7058
At_72E2	0	7058
At_72D1	0	7058
At_72C1	0	7058
At_72B3	0	7058
At_72B1	0	7058
At_73C4	0	7058
At_73C1	0	7058
At_73B2	0	7058
At_73B3	0	7058
At_73B4	0	7058
At_73B5	0	7058
At_73B1	1	7058
At_75D1	0	7058
At_74F1	1	7058
At_74B1	1	7058
At_76E1	0	7058
At_76E2	0	7058
At_76E12	0	7058
