enzyme	reaction	cid
Nt_UGT1	0	69867
Pt_UGT1	0	69867
At_72B1	0	69867
At_72E2	0	69867
Mt_71G1	0	69867
Mt_78G1	0	69867
UGT74B1	1	27582
UGT74B1	1	11334
UGT74B1	1	7271
UGT74B1	1	6914
UGT74B1	1	8449
UGT74B1	1	66
UGT71L2	1	6997
UGT71L2	1	637540
UGT71L2	0	271816
UGT71L2	0	11970
PpUGT85A2	1	6054
UGT72AY1	1	91747288
UGT73A24	1	91747288
UGT73A25	1	91747288
UGT71L2	0	637541
UGT72AY1	1	5370052
UGT73A24	1	5370052
UGT73A25	1	5370052
UGT85A73	0	5370052
UGT71L2	0	102
UGT72AY1	0	91749226
UGT73A24	0	91749226
UGT85A73	1	91749226
UGT72AY1	1	14565843
UGT73A24	1	14565843
UGT73A25	1	14565843
UGT73A24	1	10176665
UGT73A25	1	10176665
UGT71L2	0	125
TwUGT2	0	5280567
ApUFGT1	1	5280567
ApUFGT2	1	5280567
ApUFGT3	1	5280567
UGT85K14	0	980
UGT74B1	1	4684
UGT74B1	1	7815
UGT85K14	0	637542
Nt_UGT1	0	442793
Pt_UGT1	0	442793
At_72B1	0	442793
At_72E2	0	442793
Mt_71G1	0	442793
Mt_78G1	0	442793
ApUFGT1	0	92249
ApUFGT2	0	92249
ApUFGT3	0	92249
Nt_UGT1	0	5280896
Pt_UGT1	0	5280896
At_72B1	0	5280896
At_72E2	0	5280896
Mt_71G1	0	5280896
Mt_78G1	0	5280896
Fe_88J1	0	5280896
Zm_15991	0	5280896
Fe_72B19	0	5280896
Ct_71E5	0	5280896
Zm_51683	0	5280896
Os_88C1	0	5280896
Zm_43295	0	5280896
Dc_71F5	0	5280896
Rc_GT1	0	5280896
Sl_GT5	0	5280896
Fi_88A10	0	5280896
At_71D1	0	5280896
At_71C1	0	5280896
Zm_62783	0	5280896
Zm_85854	0	5280896
Gm_88E3	0	5280896
Zm_72068	0	5280896
Lc_72B10	0	5280896
ApUFGT1	1	5280442
ApUFGT2	0	5280442
ApUFGT3	0	5280442
Fe_88J1	0	5318517
Zm_15991	0	5318517
Fe_72B19	0	5318517
Ct_71E5	0	5318517
Zm_51683	0	5318517
Os_88C1	0	5318517
Zm_43295	0	5318517
Dc_71F5	0	5318517
Rc_GT1	0	5318517
Sl_GT5	0	5318517
Fi_88A10	0	5318517
At_71D1	0	5318517
At_71C1	0	5318517
Zm_62783	0	5318517
Zm_85854	0	5318517
Gm_88E3	0	5318517
Zm_72068	0	5318517
Lc_72B10	0	5318517
Nt_UGT1	0	5318517
Pt_UGT1	0	5318517
At_72B1	0	5318517
At_72E2	0	5318517
Mt_71G1	0	5318517
Mt_78G1	0	5318517
ApUFGT1	1	5280443
ApUFGT2	1	5280443
ApUFGT3	1	5280443
UGT73A17	1	5280443
Nt_UGT1	0	64981
Pt_UGT1	0	64981
At_72B1	0	64981
At_72E2	0	64981
Mt_71G1	0	64981
Mt_78G1	0	64981
TwUGT2	0	64981
Nt_UGT1	0	10922465
Pt_UGT1	0	10922465
At_72B1	0	10922465
At_72E2	0	10922465
