enzyme	Yield_thres_50_match_pred_AUC	Yield_thres_50_blosum62_pred_AUC	Yield_thres_50_0	Yield_thres_50_1
CAI62049.1 UDP-xylose phenolic glycosyltransferase [Solanum lycopersicum]	0.8902439024390244	0.8983739837398373	41	6
Gm_88E3	0.8571428571428571	0.8376623376623378	14	33
BAG80544.1	0.7398190045248869	0.7850678733031674	34	13
Fe_88J1	0.6975806451612904	0.7459677419354839	31	16
AHX56914.1	0.6714285714285715	0.7357142857142857	40	7
Mt_78G1	0.6463414634146342	0.6747967479674797	41	6
ARM65439.1 glycosyltransferase 3 [Aloe arborescens]	0.6219512195121951	0.6504065040650406	41	6
ARM65438.1 glycosyltransferase 5 [Aloe vera]	0.6264367816091954	0.6398467432950191	29	18
At_71C1	0.6236363636363637	0.6218181818181818	25	22
Rc_GT1	0.6108870967741935	0.5907258064516129	16	31
Zm_51683	0.5666666666666667	0.5761904761904761	42	5
Sl_GT5	0.5384615384615385	0.5714285714285714	26	21
Nt_UGT1	0.5087719298245614	0.5672514619883041	38	9
Zm_43295	0.5865800865800866	0.5606060606060606	33	14
ABA42118.2 oleandomycin glycosyltransferase [Streptomyces antibioticus]	0.5	0.5544871794871794	39	8
Dc_71F5	0.5381818181818181	0.5490909090909091	25	22
Fi_88A10	0.5842490842490843	0.5274725274725275	21	26
Zm_62783	0.47560975609756095	0.4959349593495935	41	6
Zm_85854	0.4766081871345029	0.48245614035087725	38	9
Lc_72B10	0.4901960784313726	0.48235294117647065	30	17
Fe_72B19	0.48108108108108105	0.48108108108108105	37	10
Os_88C1	0.4434389140271493	0.4649321266968326	34	13
At_71D1	0.39492753623188404	0.38768115942028986	24	23
Pt_UGT1	0.4285714285714286	0.38571428571428573	35	12
Sr_71E1	0.32926829268292684	0.30081300813008127	41	6
Ct_71E5	0.3324324324324325	0.24594594594594593	10	37
