Accession	cas	cid	ID	Description	UGT	Polyphenol Name	Yield	enzyme
B6SRY5	500-65-2	5320954	1	GRMZM2G085854P02		Rhapontigenin	54	Zm_85854
B6SRY5	446-72-0	5280961	1	GRMZM2G085854P02		Genistein	22	Zm_85854
B6SRY5	520-36-5	5280443	1	GRMZM2G085854P02		Apigenin	43	Zm_85854
B6SRY5	491-70-3	5280445	1	GRMZM2G085854P02		Luteolin	73	Zm_85854
B6SRY5	4773-96-0	5281647	1	GRMZM2G085854P02		Mangiferin	0	Zm_85854
B6SRY5	3681-93-4	5280441	1	GRMZM2G085854P02		Vitexin	0	Zm_85854
B6SRY5	1126-61-0	70775	1	GRMZM2G085854P02		4-Allylpyrocatechol	56	Zm_85854
B6SRY5	13677-79-7	83651	1	GRMZM2G085854P02		2,3,4-Trihydroxybenzoic acid	0	Zm_85854
B6SRY5	451-13-8	780	1	GRMZM2G085854P02		Homogentisic acid	15	Zm_85854
B6SRY5	31721-94-5	5281343	1	GRMZM2G085854P02		5,7-Dihydroxychromone	43	Zm_85854
B6SRY5	1983-81-9	54679630	1	GRMZM2G085854P02		4,7-DIHYDROXYCOUMARIN	20	Zm_85854
B6SRY5	708-53-2	12820	1	GRMZM2G085854P02		2',3'-Dihydroxy-4'-methoxyacetophenone	39	Zm_85854
B6SRY5	529-84-0	5319502	1	GRMZM2G085854P02		4-Methylesculetin	54	Zm_85854
B6SRY5	2107-76-8	5354284	1	GRMZM2G085854P02		4-Methyllimetol	14	Zm_85854
B6SRY5	3843-74-1	689075	1	GRMZM2G085854P02		Methyl caffeate acid	33	Zm_85854
B6SRY5	4707-47-5	238398	1	GRMZM2G085854P02		Atraric acid	14	Zm_85854
B6SRY5	69039-02-7	155240	1	GRMZM2G085854P02		Hydroxytyrosol Acetate	40	Zm_85854
B6SRY5	121-79-9	4947	1	GRMZM2G085854P02		Propyl gallate	82	Zm_85854
B6SRY5	606-12-2	220295	1	GRMZM2G085854P02		2,4'-Dihydroxybenzophenone	0	Zm_85854
B6SRY5	531-95-3	91469	1	GRMZM2G085854P02		Equol	3	Zm_85854
B6SRY5	33626-08-3	6255462	1	GRMZM2G085854P02		4'-Methoxyresveratrol	92	Zm_85854
B6SRY5	86361-55-9	45382232	1	GRMZM2G085854P02		Gnetol	5	Zm_85854
B6SRY5	842-01-3	5413034	1	GRMZM2G085854P02		7,8-Dihydroxy-4-phenylcoumarin	9	Zm_85854
B6SRY5	7758-73-8	5398649	1	GRMZM2G085854P02		5,7-Dihydroxy-4-phenylcoumarin	0	Zm_85854
B6SRY5	32507-66-7	5318650	1	GRMZM2G085854P02		Isorhapontigenin	47	Zm_85854
B6SRY5	17817-31-1	5284649	1	GRMZM2G085854P02		6,7,4'-Trihydroxyisoflavone	36	Zm_85854
B6SRY5	487-52-5	5281222	1	GRMZM2G085854P02		Butein	90	Zm_85854
B6SRY5	20575-57-9	5280448	1	GRMZM2G085854P02		Calycosin	10	Zm_85854
B6SRY5	480-11-5	5320315	1	GRMZM2G085854P02		Oroxylin A	13	Zm_85854
B6SRY5	104594-70-9	5281787	1	GRMZM2G085854P02		Caffeic Acid Phenethyl Ester	97	Zm_85854
B6SRY5	2957-21-3	73571	1	GRMZM2G085854P02		Sakuranetin	28	Zm_85854
B6SRY5	552-58-9	440735	1	GRMZM2G085854P02		Eriodictyol	16	Zm_85854
B6SRY5	480-20-6	122850	1	GRMZM2G085854P02		Aromadendrin	22	Zm_85854
B6SRY5	1447-88-7	5281628	1	GRMZM2G085854P02		Hispidulin	16	Zm_85854
B6SRY5	548-77-6	5281811	1	GRMZM2G085854P02		Tectorigenin	13	Zm_85854
B6SRY5	37308-75-1	6293081	1	GRMZM2G085854P02		Flavokawain C	34	Zm_85854
B6SRY5	500-38-9	4534	1	GRMZM2G085854P02		Nordihydroguaiaretic acid	0	Zm_85854
B6SRY5	102036-29-3	13846689	1	GRMZM2G085854P02		Protosappanin B	0	Zm_85854
B6SRY5	108853-14-1	176096	1	GRMZM2G085854P02		Dendrophenol	1	Zm_85854
B6SRY5	520-11-6	5317284	1	GRMZM2G085854P02		6-Methoxyluteolin	57	Zm_85854
B6SRY5	41060-15-5	5320053	1	GRMZM2G085854P02		Neobavaisoflavone	27	Zm_85854
B6SRY5	19879-32-4	5321775	1	GRMZM2G085854P02		Bavachin	10	Zm_85854
B6SRY5	67979-25-3	155011	1	GRMZM2G085854P02		Aurantio-obtusin	7	Zm_85854
B6SRY5	18085-97-7	5379096	1	GRMZM2G085854P02		Jaceosidin	37	Zm_85854
B6SRY5	906-33-2	5280633	1	GRMZM2G085854P02		Neochlorogenic acid	0	Zm_85854
B6SRY5	548-76-5	5464170	1	GRMZM2G085854P02		Irigenin	15	Zm_85854
B6SRY5	27208-80-6	5281718	1	GRMZM2G085854P02		Polydatin	0	Zm_85854
B4F9H1	500-65-2	5320954	2	GRMZM2G372068P01		Rhapontigenin	49	Zm_72068
B4F9H1	446-72-0	5280961	2	GRMZM2G372068P01		Genistein	0	Zm_72068
B4F9H1	520-36-5	5280443	2	GRMZM2G372068P01		Apigenin	0	Zm_72068
B4F9H1	491-70-3	5280445	2	GRMZM2G372068P01		Luteolin	2	Zm_72068
B4F9H1	4773-96-0	5281647	2	GRMZM2G372068P01		Mangiferin	0	Zm_72068
B4F9H1	3681-93-4	5280441	2	GRMZM2G372068P01		Vitexin	0	Zm_72068
B4F9H1	1126-61-0	70775	2	GRMZM2G372068P01		4-Allylpyrocatechol	47	Zm_72068
B4F9H1	13677-79-7	83651	2	GRMZM2G372068P01		2,3,4-Trihydroxybenzoic acid	0	Zm_72068
B4F9H1	451-13-8	780	2	GRMZM2G372068P01		Homogentisic acid	21	Zm_72068
B4F9H1	31721-94-5	5281343	2	GRMZM2G372068P01		5,7-Dihydroxychromone	12	Zm_72068
B4F9H1	1983-81-9	54679630	2	GRMZM2G372068P01		4,7-DIHYDROXYCOUMARIN	2	Zm_72068
B4F9H1	708-53-2	12820	2	GRMZM2G372068P01		2',3'-Dihydroxy-4'-methoxyacetophenone	21	Zm_72068
B4F9H1	529-84-0	5319502	2	GRMZM2G372068P01		4-Methylesculetin	11	Zm_72068
B4F9H1	2107-76-8	5354284	2	GRMZM2G372068P01		4-Methyllimetol	2	Zm_72068
B4F9H1	3843-74-1	689075	2	GRMZM2G372068P01		Methyl caffeate acid	57	Zm_72068
B4F9H1	4707-47-5	238398	2	GRMZM2G372068P01		Atraric acid	13	Zm_72068
B4F9H1	69039-02-7	155240	2	GRMZM2G372068P01		Hydroxytyrosol Acetate	39	Zm_72068
B4F9H1	121-79-9	4947	2	GRMZM2G372068P01		Propyl gallate	55	Zm_72068
B4F9H1	606-12-2	220295	2	GRMZM2G372068P01		2,4'-Dihydroxybenzophenone	1	Zm_72068
B4F9H1	531-95-3	91469	2	GRMZM2G372068P01		Equol	1	Zm_72068
B4F9H1	33626-08-3	6255462	2	GRMZM2G372068P01		4'-Methoxyresveratrol	95	Zm_72068
B4F9H1	86361-55-9	45382232	2	GRMZM2G372068P01		Gnetol	6	Zm_72068
B4F9H1	842-01-3	5413034	2	GRMZM2G372068P01		7,8-Dihydroxy-4-phenylcoumarin	0	Zm_72068
B4F9H1	7758-73-8	5398649	2	GRMZM2G372068P01		5,7-Dihydroxy-4-phenylcoumarin	0	Zm_72068
B4F9H1	32507-66-7	5318650	2	GRMZM2G372068P01		Isorhapontigenin	36	Zm_72068
B4F9H1	17817-31-1	5284649	2	GRMZM2G372068P01		6,7,4'-Trihydroxyisoflavone	5	Zm_72068
B4F9H1	487-52-5	5281222	2	GRMZM2G372068P01		Butein	30	Zm_72068
B4F9H1	20575-57-9	5280448	2	GRMZM2G372068P01		Calycosin	0	Zm_72068
B4F9H1	480-11-5	5320315	2	GRMZM2G372068P01		Oroxylin A	0	Zm_72068
B4F9H1	104594-70-9	5281787	2	GRMZM2G372068P01		Caffeic Acid Phenethyl Ester	92	Zm_72068
B4F9H1	2957-21-3	73571	2	GRMZM2G372068P01		Sakuranetin	0	Zm_72068
B4F9H1	552-58-9	440735	2	GRMZM2G372068P01		Eriodictyol	7	Zm_72068
B4F9H1	480-20-6	122850	2	GRMZM2G372068P01		Aromadendrin	2	Zm_72068
B4F9H1	1447-88-7	5281628	2	GRMZM2G372068P01		Hispidulin	0	Zm_72068
B4F9H1	548-77-6	5281811	2	GRMZM2G372068P01		Tectorigenin	0	Zm_72068
