enzyme	cid
Nt_UGT1	50591
Pt_UGT1	50591
At_72B1	50591
At_72E2	50591
Mt_71G1	50591
Mt_78G1	50591
At_76E5	50591
At_76E4	50591
At_76E1	50591
At_76E2	50591
At_76E12	50591
At_76E11	50591
At_85A5	50591
At_85A4	50591
At_84A3	50591
At_84A4	50591
At_84A2	50591
At_84A1	50591
At_84B1	50591
At_84B2	50591
At_75B1	50591
At_75D1	50591
At_74F1	50591
At_74F2	50591
At_74B1	50591
At_78D2	50591
At_78D1	50591
At_71C1	50591
At_71C2	50591
At_71C3	50591
At_71C4	50591
At_71C5	50591
At_71B8	50591
At_71B6	50591
At_71B5	50591
At_71B1	50591
At_88A1	50591
At_72E3	50591
At_72E1	50591
At_72D1	50591
At_72C1	50591
At_72B3	50591
At_73C3	50591
At_73C4	50591
At_73C5	50591
At_73C6	50591
At_73C1	50591
At_73C7	50591
At_73B2	50591
At_73B3	50591
At_73B1	50591
At_73B4	50591
At_73B5	50591
At_89B1	50591
At_89C1	50591
VVGT1	50591
At_76C4	50591
Am_88D3	50591
At_71D1	50591
Bm_88D9	50591
Ct_71E5	50591
Dc_71F5	50591
Fe_71U1	50591
Fe_72AC1	50591
Fe_72B19	50591
Fe_88J1	50591
Fi_88A10	50591
Gj_71A23	50591
Gj_88F6	50591
Gm_88E3	50591
Lc_71A12	50591
Lc_72B10	50591
Lj_72AG1	50591
Lj_72L6	50591
Lj_72V3	50591
Lj_72Z2	50591
Lu_71M1	50591
Lu_71P1	50591
Lu_71Q2	50591
Lu_72M2	50591
Lu_72Q1	50591
Lu_88G1	50591
Mt_72L1	50591
Mt_88E1	50591
Nt_71A6	50591
Os_72F1	50591
Os_72H3	50591
Os_72J1	50591
Os_88C1	50591
Pf_88D7	50591
Rc_GT1	50591
Sl_GT5	50591
Sr_71E1	50591
Sr_88B1	50591
Vv_88A12	50591
Zm_11344	50591
Zm_15991	50591
Zm_43295	50591
Zm_51683	50591
Zm_56026	50591
Zm_58314	50591
Zm_60993	50591
Zm_62783	50591
Zm_63550	50591
Zm_71B1	50591
Zm_72068	50591
Zm_85854	50591
UGT71G1	50591
UGT78G1	50591
OleD	50591
UGT72B10	50591
UGT74P1	50591
UGT73A10	50591
UGT74N1	50591
UGT75L2	50591
UGT85A20	50591
UGT73Q1	50591
UGT73A12	50591
UGT86A5	50591
UGT94E2	50591
UGT84C2	50591
UGT85B2	50591
UGT74H5	50591
UGT88C4	50591
UGT74H6	50591
UGT75E3	50591
UGT73B4	50591
UGT73C1	50591
OsCGT	50591
ZmUGT/UGT708A6	50591
FeCGTa/UGT708C1	50591
FeCGTb/UGT708C2	50591
GmCGT/UGT708D1	50591
GtUF6CGT1	50591
MiCGT	50591
MiCGTb	50591
FcCGT/UGT708G1	50591
CuCGT/UGT708G2	50591
PlUGT43	50591
TcCGT1	50591
WjGT1/UGT84A57	50591
GgCGT/UGT708B4	50591
OsCGT2/UGT708A4	50591
OsCGT3/UGT708A2	50591
OsCGT6/UGT708A40	50591
TaCGT1-A/UGT708A14	50591
TaCGT1-B/UGT708A52	50591
TaCGT1-D/UGT708A53	50591
TaCGT2-A/UGT708A15	50591
TaCGT2-B/UGT708A54	50591
SbCGT1/UGT708A36	50591
SbCGT2/UGT708A35	50591
SbCGT3/UGT708A34	50591
ZmCGT2/UGT708A5	50591
ZmCGT3/UGT708A11	50591
ZmCGT4/UGT708A41	50591
ZmCGT5/UGT708A42	50591
SiCGT1/UGT708A31	50591
SiCGT2/UGT708A32	50591
SiCGT3/UGT708A33	50591
BdCGT1/UGT708A7	50591
BdCGT2/UGT708A8	50591
PhCGT1/UGT708A43	50591
PhCGT2/UGT708A46	50591
PgCGT1/UGT708A44	50591
PpCGT1/UGT708A45	50591
IroB	50591
DcUGT2	50591
UGT85K14	50591
UGT74B6	50591
UGT712E1	50591
PpUGT85A2	50591
TwUGT2	50591
UGT73C11	50591
ApUFGT1	50591
ApUFGT2	50591
ApUFGT3	50591
UGT73A17	50591
TwUGT1	50591
UGT71L2	50591
UGT72AY1	50591
UGT73A24	50591
UGT73A25	50591
UGT85A73	50591
UGT74B1	50591
UGT74B1 mut H22A	50591
UGT74B1 mut D113A	50591
OAO89857.1	50591
QCD86231.1	50591
BAG80544.1	50591
ALO19893.1	50591
AQQ16706.1	50591
AFJ52996.1	50591
AHX56914.1	50591
BAM28983.1	50591
AAA16108.1 ceramide UDP-galactosyltransferase [Rattus norvegicus]	50591
AAA21261.1 CrtX [Pantoea agglomerans]	50591
AAA26780.1 macrolide glycosyl transferase [Streptomyces lividans]	50591
AAA42315.1 truncated UDP-glucuronosyltransferase (EC 2.4.1.17) [Rattus norvegicus]	50591
AAA59054.1 IAA-glu synthetase [Zea mays]	50591
AAA62129.1 rhamnosyl transferase [Pseudomonas aeruginosa]	50591
AAA63195.1 UDP-glucuronosyltransferase 1 [Homo sapiens]	50591
AAA63196.1 UDP-glucuronosyltransferase 2 family polypeptide B [Homo sapiens]	50591
AAA64979.1 zeaxanthin glucosyl transferase [Pantoea agglomerans]	50591
AAA65979.1 UDP glucuronosyltransferase [Mus musculus]	50591
AAA69845.1 ecdysteroid UPD-glucosyltransferase [Autographa californica nucleopolyhedrovirus]	50591
AAA81769.1 Udp-glucuronosyltransferase protein 46 [Caenorhabditis elegans]	50591
AAB03658.1 ecdysteroid UDP-glucosyltransferase [Mamestra brassicae multiple nucleopolyhedrovirus]	50591
AAB28536.1 dihydrotestosterone/androstanediol UDP-glucuronosyltransferase isoform 3, udpgth-3 [human, liver, Peptide, 530 aa]	50591
AAB36652.1 immediate-early salicylate-induced glucosyltransferase [Nicotiana tabacum]	50591
AAB42343.1 Udp-glucuronosyltransferase protein 25, confirmed by transcript evidence [Caenorhabditis elegans]	50591
AAB42344.1 Udp-glucuronosyltransferase protein 28, partially confirmed by transcript evidence [Caenorhabditis elegans]	50591
AAB42345.1 Udp-glucuronosyltransferase protein 27, partially confirmed by transcript evidence [Caenorhabditis elegans]	50591
AAB42350.2 Udp-glucuronosyltransferase protein 26, isoform a, confirmed by transcript evidence [Caenorhabditis elegans]	50591
AAB48444.1 UDP-glucose glucosyltransferase [Solanum tuberosum]	50591
AAB50249.1 UDP-glucuronosyltransferase [Macaca fascicularis]	50591
AAB58353.1 ecdysteroid UDP-glucosyltransferase [Buzura suppressaria nucleopolyhedrovirus]	50591
AAB58497.1 UDP-glucose:indole-3-acetate beta-D-glucosyltransferase [Arabidopsis thaliana]	50591
AAB62270.1 UDPG glucosyltransferase [Solanum berthaultii]	50591
AAB64022.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAB64024.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAB65795.1 UDP-glucuronosyltransferase 1A7, partial [Oryctolagus cuniculus]	50591
AAB71324.1 Hypothetical protein F09G2.6 [Caenorhabditis elegans]	50591
AAB81201.1 ecdysteroid UDP-glucosyltransferase [Helicoverpa zea single nucleopolyhedrovirus]	50591
AAB81536.1 UDP-glucuronosyltransferase 1A7 [Homo sapiens]	50591
AAB81537.1 UDP-glucuronosyltransferase 1A10 [Homo sapiens]	50591
AAB81683.1 UDP glucose:flavonoid 3-o-glucosyltransferase [Vitis vinifera]	50591
AAB84259.1 UDP-glucuronosyltransferase 1A8 [Homo sapiens]	50591
AAB86473.1 UDP glucose: flavonoid 3-O-glucosyltransferase, partial [Ipomoea purpurea]	50591
AAB87106.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAB87110.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAB87119.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAB88117.1 ecdysteriod UDP-glucosyltransferase [Helicoverpa armigera nucleopolyhedrovirus]	50591
AAB96667.1 UDP-glucuronosyltransferase [Felis catus]	50591
AAB96668.1 UDP-glucuronosyltransferase [Felis catus]	50591
AAC00570.1 Similar to glucosyltransferases [Arabidopsis thaliana]	50591
AAC12648.1 glycosyltransferase OleI [Streptomyces antibioticus]	50591
AAC14497.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAC16957.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAC16958.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAC25491.1 C19steroid specific UDP-glucuronosyltransferase [Homo sapiens]	50591
AAC26233.1 contains similarity to UDP-glucoronosyl and UDP-glucosyl transferases (Pfam: UDPGT.hmm, score: 85.94) [Arabidopsis thaliana]	50591
AAC31425.1 UDP-glucuronosyltransferase 1A9 [Homo sapiens]	50591
AAC32440.1 putative flavonol 3-O-glucosyltransferase [Arabidopsis thaliana]	50591
AAC35226.1 putative flavonol 3-O-glucosyltransferase [Arabidopsis thaliana]	50591
AAC35238.1 putative flavonol 3-O-glucosyltransferase [Arabidopsis thaliana]	50591
AAC35239.1 putative flavonol 3-O-glucosyltransferase [Arabidopsis thaliana]	50591
AAC35240.1 putative flavonol 3-O-glucosyltransferase [Arabidopsis thaliana]	50591
AAC46318.1 hypothetical glycosyl transferase [Bacillus subtilis subsp. subtilis str. 168]	50591
AAC48233.1 Hypothetical protein F10D2.2a [Caenorhabditis elegans]	50591
AAC48235.1 Hypothetical protein F10D2.5 [Caenorhabditis elegans]	50591
AAC48236.2 Udp-glucuronosyltransferase protein 37 [Caenorhabditis elegans]	50591
AAC48237.1 Udp-glucuronosyltransferase protein 38 [Caenorhabditis elegans]	50591
AAC50565.1 UDP-Galactose ceramide galactosyl transferase [Homo sapiens]	50591
AAC52219.1 UDP-glucuronosyltransferase precursor [Rattus norvegicus]	50591
AAC64220.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAC98458.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAD04166.1 zeatin O-glucosyltransferase [Phaseolus lunatus]	50591
AAD08808.1 UDP-glucuronosyltransferase [Macaca fascicularis]	50591
AAD12210.1 putative flavonol 3-O-glucosyltransferase [Arabidopsis thaliana]	50591
AAD12211.1 putative flavonol 3-O-glucosyltransferase [Arabidopsis thaliana]	50591
AAD14733.1 Hypothetical protein H23N18.4 [Caenorhabditis elegans]	50591
AAD15567.1 putative anthocyanidin-3-glucoside rhamnosyltransferase [Arabidopsis thaliana]	50591
AAD17392.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAD20151.1 putative glucosyl transferase [Arabidopsis thaliana]	50591
AAD20152.1 putative glucosyl transferase [Arabidopsis thaliana]	50591
AAD20153.1 putative glucosyl transferase [Arabidopsis thaliana]	50591
AAD20154.1 putative glucosyl transferase [Arabidopsis thaliana]	50591
AAD20155.1 putative glucosyl transferase [Arabidopsis thaliana]	50591
AAD20156.1 putative glucosyl transferase [Arabidopsis thaliana]	50591
AAD21086.1 flavonoid 3-O-glucosyltransferase [Forsythia x intermedia]	50591
AAD26203.1 UDP glucose:flavonoid 3-O-glucosyl transferase [Malus domestica]	50591
AAD30627.1 Similar to indole-3-acetate beta-glucosyltransferase [Arabidopsis thaliana]	50591
AAD30635.1 Highly similar to UDPG glucosyltransferase [Arabidopsis thaliana]	50591
AAD31582.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAD32293.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
AAD32297.1 putative glucosyltransferase [Arabidopsis thaliana]	50591
