PV Version: 1.3
Date: 2022-04-01 03:36:03 PM
Protein directory: acceptors-props/PDBs
Volume probe radius: 0.080A -> 0.020A
Surface probe minimum distance: 0.1A

Protein               Total Volume (A3)      Void Volume       VDW Volume  Packing Density  Time Taken (ms)
10154                           310.187           17.773          292.414            0.943  4059
101763507                       869.179           71.436          797.743            0.918  6801
10441749                        119.080            3.479          115.602            0.971  2909
10684283                        259.781           11.076          248.705            0.957  2761
107126                          232.114           17.889          214.225            0.923  2871
10742                           177.572            6.869          170.703            0.961  3057
10819                           174.733           10.725          164.007            0.939  2945
10922465                        252.679           17.695          234.984            0.930  2575
10955174                        248.937           17.446          231.491            0.930  2584
114840                          262.520           15.601          246.919            0.941  3317
11727234                        263.454            8.373          255.081            0.968  3621
11782                           148.616            5.440          143.176            0.963  2886
11876195                        267.217           18.029          249.188            0.933  2352
122707150                       433.032           37.640          395.392            0.913  4088
122738                          517.746           45.396          472.350            0.912  3622
122850                          249.435           11.628          237.807            0.953  3057
12310492                        325.340           20.284          305.057            0.938  2997
124219                          264.910           12.560          252.350            0.953  3010
12426239                        182.884           11.706          171.178            0.936  2301
1254                            187.463           13.015          174.448            0.931  2385
12820                           166.383            5.676          160.707            0.966  2544
128861                          241.603            8.413          233.190            0.965  2335
12900885                        257.504           22.164          235.339            0.914  2910
129320322                       388.470           24.423          364.047            0.937  3419
129865704                       209.404            7.235          202.168            0.965  3209
135                             123.969            3.995          119.975            0.968  2503
135398625                       478.185           35.971          442.214            0.925  4169
135398627                       485.219           40.956          444.263            0.916  4477
135402013                       479.072           42.542          436.530            0.911  4305
135403798                       484.856           31.541          453.315            0.935  4271
13846689                        271.362           15.372          255.990            0.943  2405
143754                          104.498            3.552          100.945            0.966  2323
14427423                        341.827           22.122          319.705            0.935  2847
1548943                         328.862           20.159          308.703            0.939  3542
1549095                         176.427            6.805          169.621            0.961  2635
155011                          287.383           14.127          273.256            0.951  2551
155240                          189.171           10.515          178.657            0.944  2604
15541                           308.034           22.174          285.861            0.928  3052
16666                           188.221           13.815          174.406            0.927  2401
17100                           182.933           13.796          169.137            0.925  2423
1738                            170.356            8.636          161.720            0.949  2171
174174                          295.546           20.372          275.174            0.931  3151
174375                          289.009           10.599          278.410            0.963  3861
176096                          297.639           17.020          280.619            0.943  3784
18068                           454.199           38.567          415.632            0.915  4621
188297                          250.682           17.684          232.998            0.929  2947
19235                           423.418           32.630          390.788            0.923  4477
21487628                        294.585           18.553          276.033            0.937  4014
21611827                        240.452           11.451          229.001            0.952  2864
21648                           170.426            8.905          161.521            0.948  3002
21722188                        387.428           22.547          364.882            0.942  3835
21932272                        249.448           12.426          237.022            0.950  2856
220295                          195.970            6.466          189.504            0.967  2820
227829                          261.381           21.511          239.870            0.918  3030
23581946                        440.678           38.998          401.680            0.912  4181
238398                          119.067            6.797          112.270            0.943  2252
25056407                        392.655           23.452          369.203            0.940  4368
26945                           564.998           39.702          525.296            0.930  5091
2733787                         351.604           30.788          320.815            0.912  3824
27582                           139.014            5.076          133.938            0.963  2658
285033                          552.466           59.535          492.930            0.892  5152
3001686                         395.822           41.568          354.253            0.895  3960
31211                           200.956           14.084          186.872            0.930  2343
31553                           426.702           28.243          398.458            0.934  3732
32021                           216.335           14.161          202.174            0.935  2288
3314                            170.223            8.764          161.459            0.949  1925
34231                           577.458           39.136          538.322            0.932  4439
3469                            132.944            4.799          128.145            0.964  1742
356759                          332.027           34.405          297.622            0.896  2671
3830                            187.743            7.257          180.486            0.961  2009
398789                          312.703           19.809          292.894            0.937  5333
4133                            141.129            4.851          136.278            0.966  2960
42607887                        240.602           11.858          228.744            0.951  3254
439174                          204.415           14.896          189.519            0.927  3864
439194                           95.836            5.473           90.363            0.943  2505
439378                          178.566           11.847          166.719            0.934  3113
439533                          259.184           14.341          244.843            0.945  3040
439653                          323.822           19.526          304.296            0.940  3572
440735                          248.596           11.141          237.456            0.955  3833
