cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	VanDerWaalsVolume	SASA	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
72	1.0202434585995346	-0.12925585823796715	0.44392716881454086	0.010415789693608374	-0.11538365839092775	-1.334001452880167	0.8794341908745866	-1.6617464158740658	0.7222353642751315	-1.4120990184704343	1.1646392181169452	1.2478935545117094	478.931	154.12	C1=CC(=C(C=C1C(=O)O)O)O	77.8	157	0	3	4	1	11	0	0	58	4	-0.5042595843842756	0.33532252564441734	0.33532252564441734	0.5042595843842756	-1.71	71.03040236591397	1	0	0	0	4	3	0	0	0	0	1	1	0	0	0	0	0.0	0.9743032607660758	0.4762966621160314	0.003718825003002165	0.22524021856807067	0.7759664400829959	0.010571888256867713	2.452424752887584	0.7959999999999998	36.7309	128.330	175.7449933309594	1	0	0	2	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	132.791	4.461	0.966
135	0.7702121818933607	-0.9643973787579126	-0.5515497337644908	-0.340506392426518	-1.7845044054516241	-1.718600153525785	-0.3126784650565934	-0.5401114986660817	0.642409917810921	-1.2371350033337998	0.6970271531599794	-0.23497016331144058	449.897	138.12	C1=CC(=CC=C1C(=O)O)O	57.5	125	0	2	3	1	10	0	0	52	3	-0.507966178790397	0.33518285963636446	0.33518285963636446	0.507966178790397	-1.51	66.14949835559072	1	0	0	0	3	2	0	0	0	0	1	1	0	0	0	0	0.0	0.9858104664825715	0.580657277515402	0.0064067229494211494	0.16786221782585528	0.8356999186591125	0.025782887073412853	2.3740273093915265	1.0903999999999996	35.06609999999999	119.722	169.8094592898834	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	124.193	4.471	0.964
240	-0.273216782033891	-1.0682618898152583	0.5914900374642155	-0.907386603591739	-0.5723118772552237	0.7674491523135042	-0.7590126968262122	-1.5112315370987375	0.7912123709493698	1.3289267175781487	-0.8517093743001904	0.24219293498694006	391.828	106.12	C1=CC=C(C=C1)C=O	17.1	72	0	0	1	1	8	0	0	40	1	-0.2978964116504968	0.14954802883036308	0.14954802883036308	0.2978964116504968	-1.11	56.387690334944224	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.0	0.9737763772648933	0.4727568307126504	0.008266091533285646	0.22750729017079924	0.7724927099421104	1.5294615307980077e-10	1.9673998119043268	1.4990999999999999	31.829499999999996	102.690	145.21046894330345	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.307	2.617	0.975
323	-0.5744628105550251	0.09580636217626365	1.6438304972610078	0.3136214516088809	1.69135153167461	1.9713978620975812	0.37250558106125253	-0.27196424895676075	0.9156620521337255	-0.632631937381917	0.9680193142844691	-1.033058947136178	493.498	146.14	C1=CC=C2C(=C1)C=CC(=O)O2	26.3	196	0	0	2	0	11	0	0	54	2	-0.4227294736611369	0.33569031616433825	0.33569031616433825	0.4227294736611369	-1.5699999999999998	71.50922957629184	2	0	0	1	2	0	0	0	0	0	2	1	1	0	0	0	0.0	0.972465757670935	0.46379361661655205	0.004514558970202687	0.23304581128502191	0.7669541887202844	1.260086405504869e-11	2.23338921807867	1.7929999999999997	42.484000000000016	126.797	169.39006702718513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	129.901	3.104	0.976
681	-0.5712931757394097	-0.6640677683668766	-0.7291305323249562	-0.027414740779231218	2.6139484956612997	-1.3644682137566673	0.40496977259350647	-1.2220864875080188	0.7368192200044673	-1.1259328801129262	-0.8395248897026549	0.1924625234859018	577.859	153.18	C1=CC(=C(C=C1CCN)O)O	66.5	119	0	3	3	2	11	0	0	60	3	-0.5042598931005379	0.293293782830755	0.293293782830755	0.5042598931005379	-1.22	80.83377483227201	1	0	0	0	3	4	0	0	0	0	1	1	0	0	0	0	0.25	0.96982037103216	0.4388135473300158	0.0038813835071397473	0.2438205240151936	0.8607591321463117	0.21452857081321303	2.499641044690215	0.5989999999999995	42.53000000000001	145.840	213.6551639960257	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.687	7.847	0.949
802	-0.5551202453776248	-0.33394764961866247	0.9218838600192498	-1.3504662395484848	-2.61474581317629	-1.7734629485203024	-1.289445279876329	-1.3049203491046029	1.722239724357351	-0.5212122138569841	0.6388901366191301	-0.6959746455837821	614.306	175.18	C1=CC=C2C(=C1)C(=CN2)CC(=O)O	53.1	205	0	2	2	2	13	0	0	66	3	-0.4809852150164579	0.3073964894414978	0.3073964894414978	0.4809852150164579	-1.77	87.79732954515534	2	0	0	1	3	2	0	0	0	0	2	1	1	0	0	0	0.1	0.96833697643108	0.4299934754734463	0.0027753883122041763	0.24964675058232558	0.8182874144737208	0.16298758356042023	2.6401616481266807	1.7949999999999995	49.638500000000015	156.203	219.6238209456621	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	162.275	6.072	0.963
931	-1.1358721941083236	-1.3942202907465213	0.31655554187862456	-0.3174122018572716	0.314658238394597	0.6735290229535783	-0.3928210285804731	0.48003569195766904	1.0115831864709601	-0.14369024722135632	-0.8288171433644688	-0.06289030029823638	507.939	128.17	C1=CC=C2C=CC=CC2=C1	0.0	80	0	0	0	0	10	0	0	48	0	-0.06162971144687501	0.06292384158258316	0.06162971144687501	0.06292384158258316	-1.2999999999999998	71.35283165257466	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0.0	0.9612593332290578	0.40100469654748244	0.004726791152433848	0.27564559543012324	0.7243544045796584	5.613247766238307e-11	2.0826526733742132	2.839800000000001	43.94800000000003	126.313	175.40783001537451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129.521	3.207	0.975
932	2.342126667157859	-2.9151316845682573	1.1368467432890408	0.3072381043206853	-1.0057069153015148	-1.1834897085780762	2.300055418072121	-0.30393936379387426	-1.1913222172486158	0.7797607378400592	-0.18335346572437472	-1.7098618712482638	907.105	272.25	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	87.0	363	0	3	5	1	20	1	0	102	5	-0.5079666065471226	0.2931358479950834	0.2931358479950834	0.5079666065471226	-2.6899999999999995	131.35491787775572	3	0	0	1	5	3	0	1	0	1	2	2	0	0	0	0	0.13333333333333333	0.9824789439627956	0.5426019789011916	0.0012784471424280997	0.1863736158090781	0.848171627008538	0.09320855299084443	3.6470205849898822	2.5099000000000022	70.19490000000002	228.830	305.9284150104799	1	1	0	3	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	239.294	10.464	0.956
1254	-0.147213517980938	0.5556217662573296	-0.6129717756328911	0.19284443715110125	-1.0524497947060913	-0.16779162789694432	-0.6829454616732732	0.778268634246199	-0.7650752312588255	-0.9942735963036217	-3.727742301357478	-0.8535386220344153	754.149	156.26	CC1CCC(C(C1)O)C(C)C	20.2	120	0	1	1	1	11	3	0	66	1	-0.39282090888948124	0.21045980546925236	0.21045980546925236	0.39282090888948124	-0.04	97.99821291754922	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1.0	0.9387096243550868	0.29535907841856907	0.0034394918665052367	0.34470892234337636	0.8831873695290081	0.43469696737823305	2.3043534315417706	2.4395000000000007	47.34980000000002	174.821	254.2395930586404	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	188.568	13.747	0.927
1738	0.4084380439648236	1.4220364708280329	-0.22672371760751	-0.28192855326871497	0.9735024378055925	-3.3742046232455465	0.5448666261735692	0.32812394957420227	0.5791681280384411	0.5203669771410199	0.6493792827430555	1.259519354705122	623.962	182.17	COC1=C(C=CC(=C1)CC(=O)O)O	66.8	181	0	2	4	3	13	0	0	70	4	-0.504254602281173	0.3073171596154548	0.3073171596154548	0.504254602281173	-1.71	89.61280981456204	1	0	0	0	4	2	0	0	0	0	1	1	0	0	0	0	0.2222222222222222	0.963321129979677	0.39975328011087014	0.0022971203665659696	0.2683512633372133	0.8238024358919277	0.1328532094235823	2.770162488088967	1.0278999999999998	45.99860000000002	161.965	231.70282264489572	1	0	0	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	170.948	8.983	0.947
