cid	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount
607797	198.23	C1=CC=C(C=C1)C=CC2=CC=C(C=C2)F	0	195	0	0	1	2	15	0	1
231093	226.27	COC1=CC=C(C=C1)C(=O)CC2=CC=CC=C2	26.3	235	0	0	2	4	17	0	0
12553720	280.27	CC(=O)OC1=CC2=C(C=C1)C(=O)C=C(O2)C3=CC=CC=C3	52.6	448	0	0	4	3	21	0	0
619834	252.26	COC1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3O2	35.5	374	0	0	3	2	19	0	0
142094	199.4	C1=CC(=C(C(=C1F)Cl)Cl)Cl	0	120	0	0	1	0	10	0	0
10680	222.24	C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2	26.3	326	0	0	2	1	17	0	0
12582098	254.28	CC(=O)OC1=CC=CC=C1C(=O)CC2=CC=CC=C2	43.4	318	0	0	3	5	19	0	0
12514018	276.24	CC(=O)OC1=CC2=C(C=C1)C(=CC(=O)O2)CC(=O)OC	78.9	453	0	0	6	5	20	0	0
2817225	282.29	CC(=O)OC1=CC2=C(C=C1)C(=O)CC(O2)C3=CC=CC=C3	52.6	400	0	0	4	3	21	1	0
30553	204.18	COC(=O)C1=CC2=CC=CC=C2OC1=O	52.6	319	0	0	4	2	15	0	0
6996	140.56	C1=CC=C(C(=C1)C=O)Cl	17.1	103	0	0	1	1	9	0	0
53441188	196.63	COC(=O)C=CC1=CC=CC=C1Cl	26.3	201	0	0	2	3	13	0	1
7150	136.15	COC(=O)C1=CC=CC=C1	26.3	114	0	0	2	2	10	0	0
94525	252.26	COC1=CC=CC2=C1C(=O)C=C(O2)C3=CC=CC=C3	35.5	368	0	0	3	2	19	0	0
244778	240.30	COC1=CC=C(C=C1)CCC(=O)C2=CC=CC=C2	26.3	248	0	0	2	5	18	0	0
13045738	240.30	COC1=CC=C(C=C1)C2CCC3=CC=CC=C3O2	18.5	258	0	0	2	2	18	1	0
98955	196.63	COC(=O)C=CC1=CC=C(C=C1)Cl	26.3	193	0	0	2	3	13	0	1
12669351	282.29	CC(=O)OC1=CC=C(C=C1)C2CC(=O)C3=CC=CC=C3O2	52.6	398	0	0	4	3	21	1	0
61151	166.17	COC1=CC=CC=C1C(=O)OC	35.5	156	0	0	3	3	12	0	0
64802	210.27	C1=CC=C(C=C1)CCC(=O)C2=CC=CC=C2	17.1	210	0	0	1	4	16	0	0
261394	240.23	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)F	26.3	358	0	0	3	1	18	0	0
255587	196.20	CC(=O)OC1=C(C=CC=C1OC)OC	44.8	181	0	0	4	4	14	0	0
928228	204.18	CC(=O)OC1=CC2=C(C=C1)C=CC(=O)O2	52.6	308	0	0	4	2	15	0	0
85773370	220.22	CC(=O)OC1=CC=CC(=C1)C=CC(=O)OC	52.6	283	0	0	4	5	16	0	1
11502	180.24	C1=CC=C(C=C1)C=CC2=CC=CC=C2	0	149	0	0	0	2	14	0	1
611808	214.69	C1=CC=C(C=C1)C=CC2=CC(=CC=C2)Cl	0	203	0	0	0	2	15	0	1
5262584	234.20	COC1=CC2=C(C=C1)C=C(C(=O)O2)C(=O)OC	61.8	360	0	0	5	3	17	0	0
8417	206.19	COC1=C(C=C2C(=C1)C=CC(=O)O2)OC	44.8	274	0	0	4	2	15	0	0
119087140	218.20	COC(=O)CC1=CC(=O)OC2=CC=CC=C21	52.6	332	0	0	4	3	16	0	0
3102	182.22	C1=CC=C(C=C1)C(=O)C2=CC=CC=C2	17.1	165	0	0	1	2	14	0	0
53395455	180.17	COC(=O)C=CC1=CC(=CC=C1)F	26.3	201	0	0	3	3	13	0	1
55273731	166.19	COC1=C(C=CC(=C1)CC=C)F	9.2	147	0	0	2	3	12	0	0
9229	122.12	C1OC2=CC=CC=C2O1	18.5	91	0	0	2	0	9	0	0
54105512	192.21	COC1=CC=CC(=C1)C=CC(=O)OC	35.5	211	0	0	3	4	14	0	1
466273	256.68	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)Cl	26.3	358	0	0	2	1	18	0	0
71422187	178.23	COCC=CC1=CC(=CC=C1)OC	18.5	154	0	0	2	4	13	0	1
56629747	228.26	C1CC2=CC=CC=C2OC1C3=CC=C(C=C3)F	9.2	247	0	0	2	1	17	1	0
4114	216.19	COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2	48.7	325	0	0	4	1	16	0	0
96744	138.14	CC(=O)C1=CC=CC=C1F	17.1	133	0	0	2	1	10	0	0
9025	138.16	COC1=CC(=CC=C1)OC	18.5	83	0	0	2	2	10	0	0
