enzyme	gtpred_enzyme	length	identity	gaps	score
Am_88D3	UGT76E5	398	26.9	5.0	299.0
Am_88D3	UGT76E4	399	29.3	4.0	395.0
Am_88D3	UGT76E1	395	29.4	3.8	422.0
Am_88D3	UGT76E2	396	28.3	4.0	400.0
Am_88D3	UGT76E12	397	29.2	4.3	424.0
Am_88D3	UGT76E11	405	28.4	4.0	408.0
Am_88D3	UGT85A5	307	32.9	5.2	346.0
Am_88D3	UGT85A4	200	41.5	3.0	383.0
Am_88D3	UGT84A3	473	25.6	6.1	311.0
Am_88D3	UGT84A4	360	26.9	5.0	304.0
Am_88D3	UGT84A2	398	29.1	4.8	383.0
Am_88D3	UGT84A1	296	30.7	3.4	382.0
Am_88D3	UGT84B1	468	28.0	5.6	374.0
Am_88D3	UGT84B2	302	32.5	4.3	372.0
Am_88D3	UGT75B1	304	31.6	5.6	285.0
Am_88D3	UGT75D1	458	24.0	5.9	238.0
Am_88D3	UGT74F1	305	32.1	7.2	346.0
Am_88D3	UGT74F2	304	31.2	6.6	346.0
Am_88D3	UGT74B1	238	37.0	5.0	342.0
Am_88D3	UGT78D2	387	30.5	6.2	337.0
Am_88D3	UGT78D1	453	27.2	4.9	374.0
Am_88D3	UGT71C1	363	35.3	5.0	511.0
Am_88D3	UGT71C2	376	33.8	3.7	531.0
Am_88D3	UGT71C3	468	33.8	6.4	531.0
Am_88D3	UGT71C4	475	34.1	7.6	544.0
Am_88D3	UGT71C5	360	34.4	4.4	483.0
Am_88D3	UGT71B8	471	35.9	8.7	476.0
Am_88D3	UGT71B6	465	34.4	8.0	468.0
Am_88D3	UGT71B5	465	34.4	7.3	495.0
Am_88D3	UGT71B1	465	32.7	8.4	470.0
Am_88D3	UGT88A1	452	42.5	5.5	788.0
Am_88D3	UGT72E2	461	31.0	6.5	442.0
Am_88D3	UGT72E3	460	30.2	6.7	450.0
Am_88D3	UGT72E1	457	30.9	6.8	437.0
Am_88D3	UGT72D1	438	31.3	4.6	485.0
Am_88D3	UGT72C1	198	43.9	7.1	383.0
Am_88D3	UGT72B3	449	33.4	5.1	540.0
Am_88D3	UGT72B1	464	33.8	5.0	554.0
Am_88D3	UGT73C3	449	29.8	6.5	378.0
Am_88D3	UGT73C4	410	30.5	7.1	360.0
Am_88D3	UGT73C5	364	31.3	6.3	352.0
Am_88D3	UGT73C6	405	29.1	6.4	323.0
Am_88D3	UGT73C1	365	31.2	7.4	333.0
Am_88D3	UGT73C7	268	36.2	7.1	344.0
Am_88D3	UGT73B2	390	33.1	5.4	408.0
Am_88D3	UGT73B3	382	32.2	5.0	412.0
Am_88D3	UGT73B1	210	37.1	1.9	388.0
Am_88D3	UGT73B4	418	30.1	4.8	415.0
Am_88D3	UGT73B5	415	29.9	4.1	418.0
Am_88D3	UGT89B1	463	27.2	4.8	359.0
Am_88D3	UGT89C1	202	34.2	6.4	272.0
Am_88D3	VVGT1	352	27.0	4.8	300.0
Am_88D3	UGT76C4	365	28.5	3.8	334.0
At_71B1	UGT76E5	393	26.5	7.4	198.0
At_71B1	UGT76E4	471	27.4	7.6	273.0
At_71B1	UGT76E1	472	26.9	7.2	293.0
At_71B1	UGT76E2	474	28.1	8.2	291.0
At_71B1	UGT76E12	467	27.2	7.5	309.0
At_71B1	UGT76E11	466	27.5	7.5	283.0
At_71B1	UGT85A5	423	26.0	3.8	241.0
At_71B1	UGT85A4	426	27.9	6.1	265.0
At_71B1	UGT84A3	400	24.8	7.5	240.0
At_71B1	UGT84A4	369	24.4	6.5	212.0
At_71B1	UGT84A2	367	24.3	7.6	226.0
At_71B1	UGT84A1	402	24.9	5.5	303.0
At_71B1	UGT84B1	339	30.1	10.3	202.0
At_71B1	UGT84B2	334	29.9	9.0	217.0
At_71B1	UGT75B1	468	24.4	6.0	302.0
At_71B1	UGT75D1	366	29.8	6.6	302.0
At_71B1	UGT74F1	470	24.5	6.2	235.0
At_71B1	UGT74F2	149	36.9	4.0	230.0
At_71B1	UGT74B1	217	34.1	9.7	222.0
At_71B1	UGT78D2	125	37.6	2.4	219.0
At_71B1	UGT78D1	64	59.4	0.0	205.0
At_71B1	UGT71C1	489	40.1	8.0	692.0
At_71B1	UGT71C2	483	41.0	7.5	699.0
At_71B1	UGT71C3	486	39.1	7.2	717.0
At_71B1	UGT71C4	490	40.2	7.8	724.0
At_71B1	UGT71C5	489	40.5	6.7	724.0
At_71B1	UGT71B8	479	56.8	3.8	1300.0
At_71B1	UGT71B6	481	58.4	3.7	1373.0
At_71B1	UGT71B5	482	55.6	3.1	1348.0
At_71B1	UGT71B1	473	100.0	0.0	2435.0
At_71B1	UGT88A1	473	33.8	6.8	547.0
At_71B1	UGT72E2	467	31.5	6.6	482.0
At_71B1	UGT72E3	467	29.3	5.8	462.0
At_71B1	UGT72E1	472	31.8	5.5	466.0
At_71B1	UGT72D1	464	30.6	5.8	445.0
At_71B1	UGT72C1	463	30.5	6.3	429.0
At_71B1	UGT72B3	468	34.8	5.1	588.0
At_71B1	UGT72B1	467	34.0	5.4	546.0
At_71B1	UGT73C3	366	29.2	8.2	275.0
At_71B1	UGT73C4	378	27.0	6.3	284.0
At_71B1	UGT73C5	381	28.9	8.9	285.0
At_71B1	UGT73C6	378	27.8	7.9	287.0
At_71B1	UGT73C1	377	28.1	7.7	296.0
At_71B1	UGT73C7	277	31.4	6.9	281.0
At_71B1	UGT73B2	217	33.2	7.4	249.0
At_71B1	UGT73B3	371	29.6	8.4	269.0
At_71B1	UGT73B1	217	35.5	7.4	284.0
At_71B1	UGT73B4	273	34.8	7.3	301.0
At_71B1	UGT73B5	220	36.8	8.2	277.0
At_71B1	UGT89B1	210	35.7	6.7	253.0
At_71B1	UGT89C1	270	32.2	6.7	275.0
At_71B1	VVGT1	72	48.6	1.4	199.0
At_71B1	UGT76C4	410	25.6	5.4	229.0
At_71B6	UGT76E5	285	32.3	9.8	228.0
At_71B6	UGT76E4	349	32.7	8.0	314.0
At_71B6	UGT76E1	472	28.2	7.2	334.0
At_71B6	UGT76E2	468	27.6	7.1	321.0
At_71B6	UGT76E12	347	30.0	7.2	307.0
At_71B6	UGT76E11	369	30.6	7.0	318.0
At_71B6	UGT85A5	421	30.9	8.3	329.0
At_71B6	UGT85A4	345	31.3	4.9	330.0
At_71B6	UGT84A3	425	25.9	7.8	257.0
At_71B6	UGT84A4	279	29.0	8.2	248.0
At_71B6	UGT84A2	435	24.6	7.1	248.0
At_71B6	UGT84A1	416	25.0	6.2	265.0
At_71B6	UGT84B1	231	35.1	10.0	208.0
At_71B6	UGT84B2	352	28.7	7.4	229.0
At_71B6	UGT75B1	467	25.9	5.6	330.0
At_71B6	UGT75D1	398	27.4	6.0	280.0
At_71B6	UGT74F1	410	23.4	6.8	213.0
At_71B6	UGT74F2	395	25.1	7.3	206.0
At_71B6	UGT74B1	240	30.8	7.9	211.0
At_71B6	UGT78D2	78	48.7	2.6	184.0
At_71B6	UGT78D1	79	45.6	2.5	165.0
At_71B6	UGT71C1	491	40.3	7.1	723.0
At_71B6	UGT71C2	480	41.0	7.1	748.0
At_71B6	UGT71C3	480	42.3	6.0	806.0
At_71B6	UGT71C4	484	42.4	6.2	820.0
At_71B6	UGT71C5	486	40.5	6.0	758.0
At_71B6	UGT71B8	484	65.9	3.7	1522.0
At_71B6	UGT71B6	479	100.0	0.0	2478.0
At_71B6	UGT71B5	484	64.7	3.9	1483.0
At_71B6	UGT71B1	481	58.4	3.7	1373.0
At_71B6	UGT88A1	471	32.7	5.9	565.0
At_71B6	UGT72E2	460	30.4	7.2	427.0
At_71B6	UGT72E3	462	28.4	7.1	400.0
At_71B6	UGT72E1	479	30.5	6.5	435.0
At_71B6	UGT72D1	465	31.6	4.5	461.0
At_71B6	UGT72C1	460	29.6	5.0	414.0
At_71B6	UGT72B3	466	36.1	5.2	553.0
At_71B6	UGT72B1	467	35.1	5.4	544.0
At_71B6	UGT73C3	400	29.5	8.2	317.0
At_71B6	UGT73C4	403	28.5	8.7	319.0
At_71B6	UGT73C5	497	28.0	9.5	320.0
At_71B6	UGT73C6	417	27.8	6.7	336.0
At_71B6	UGT73C1	493	28.2	8.3	329.0
At_71B6	UGT73C7	495	28.7	8.9	311.0
At_71B6	UGT73B2	283	32.2	8.1	290.0
At_71B6	UGT73B3	275	34.5	8.4	312.0
At_71B6	UGT73B1	274	34.3	7.3	324.0
At_71B6	UGT73B4	271	33.9	7.0	333.0
At_71B6	UGT73B5	316	31.6	7.6	316.0
At_71B6	UGT89B1	219	34.2	5.9	258.0
At_71B6	UGT89C1	220	33.6	4.1	286.0
At_71B6	VVGT1	80	45.0	2.5	180.0
At_71B6	UGT76C4	470	23.8	6.4	230.0
At_71C1	UGT76E5	259	32.0	5.8	272.0
At_71C1	UGT76E4	354	29.1	4.2	318.0
At_71C1	UGT76E1	300	31.3	3.0	326.0
At_71C1	UGT76E2	277	32.1	3.6	330.0
At_71C1	UGT76E12	298	28.9	2.7	348.0
At_71C1	UGT76E11	302	30.1	4.0	325.0
At_71C1	UGT85A5	296	30.1	5.7	278.0
At_71C1	UGT85A4	148	36.5	2.7	262.0
At_71C1	UGT84A3	363	26.4	6.3	274.0
At_71C1	UGT84A4	359	27.3	5.6	284.0
At_71C1	UGT84A2	377	24.7	5.0	256.0
At_71C1	UGT84A1	481	24.9	4.6	343.0
At_71C1	UGT84B1	302	33.1	7.0	311.0
At_71C1	UGT84B2	299	32.4	6.7	317.0
At_71C1	UGT75B1	314	31.8	6.1	323.0
At_71C1	UGT75D1	346	28.6	6.4	300.0
At_71C1	UGT74F1	295	31.9	8.1	306.0
At_71C1	UGT74F2	396	29.5	9.3	300.0
At_71C1	UGT74B1	201	34.3	7.0	254.0
At_71C1	UGT78D2	304	30.6	5.9	303.0
At_71C1	UGT78D1	292	30.1	6.2	271.0
At_71C1	UGT71C1	481	100.0	0.0	2509.0
At_71C1	UGT71C2	474	79.7	0.2	1981.0
At_71C1	UGT71C3	474	66.5	1.3	1670.0
At_71C1	UGT71C4	480	58.8	2.1	1458.0
At_71C1	UGT71C5	477	54.9	2.7	1282.0
At_71C1	UGT71B8	485	39.4	7.2	682.0
At_71C1	UGT71B6	491	40.3	7.1	723.0
At_71C1	UGT71B5	489	40.9	7.0	753.0
At_71C1	UGT71B1	489	40.1	8.0	692.0
At_71C1	UGT88A1	469	33.7	5.5	581.0
At_71C1	UGT72E2	387	35.4	8.5	428.0
At_71C1	UGT72E3	387	34.1	8.8	382.0
At_71C1	UGT72E1	395	33.7	8.4	424.0
At_71C1	UGT72D1	336	35.1	5.7	424.0
At_71C1	UGT72C1	376	32.4	7.7	352.0
At_71C1	UGT72B3	471	35.9	8.7	521.0
At_71C1	UGT72B1	481	33.7	7.5	514.0
At_71C1	UGT73C3	488	30.1	7.6	408.0
At_71C1	UGT73C4	494	27.5	7.3	370.0
At_71C1	UGT73C5	496	26.8	7.3	379.0
At_71C1	UGT73C6	488	27.3	7.6	373.0
At_71C1	UGT73C1	489	28.2	8.2	350.0
At_71C1	UGT73C7	499	28.7	7.8	362.0
At_71C1	UGT73B2	475	26.7	4.4	353.0
At_71C1	UGT73B3	355	31.5	5.4	364.0
At_71C1	UGT73B1	216	36.1	3.2	366.0
At_71C1	UGT73B4	367	31.6	5.7	357.0
At_71C1	UGT73B5	208	38.5	2.4	366.0
