feature	importance	std
Al_COO	0.0	0.0
Al_OH	0.0	0.0
ArN	0.0	0.0
Ar_COO	0.0	0.0
Ar_N	0.0	0.0
Ar_NH	0.0	0.0
Ar_OH	0.0	0.0
Asphericity	0.0	0.0
AtomStereoCount	0.0	0.0
BondStereoCount	0.0	0.0
COO	0.0	0.0
COO2	0.0	0.0
C_O	0.0	0.0
C_O_noCOO	0.0	0.0
Charge	0.0	0.0
Complexity	0.0	0.0
Eccentricity	0.0	0.0
FractionCSP3	0.0	0.0
HBondAcceptorCount	0.0	0.0
HBondDonorCount	0.0	0.0
HallKierAlpha	0.0	0.0
HeavyAtomCount	0.0	0.0
InertialShapeFactor	0.0	0.0
LabuteASA	0.0	0.0
MDS_01	0.0	0.0
MDS_02	0.0	0.0
MDS_03	0.0	0.0
MDS_04	0.0	0.0
MDS_05	0.0	0.0
MDS_06	0.0	0.0
MDS_07	0.0	0.0
MDS_08	0.0	0.0
MDS_09	0.0	0.0
MDS_10	0.0	0.0
MDS_11	0.0	0.0
MDS_12	0.0	0.0
MaxAbsPartialCharge	0.0	0.0
MaxPartialCharge	0.0	0.0
MinAbsPartialCharge	0.0	0.0
MinPartialCharge	0.0	0.0
MolLogP	0.0	0.0
MolMR	0.0	0.0
MolecularWeight	0.0	0.0
NH0	0.0	0.0
NH1	0.0	0.0
NH2	0.0	0.0
NPR1	0.0	0.0
NPR2	0.0	0.0
Ndealkylation1	0.0	0.0
Nhpyrrole	0.0	0.0
NumAliphaticCarbocycles	0.0	0.0
NumAliphaticHeterocycles	0.0	0.0
NumAliphaticRings	0.0	0.0
NumAmideBonds	0.0	0.0
NumAromaticCarbocycles	0.0	0.0
NumAromaticHeterocycles	0.0	0.0
NumAromaticRings	0.0	0.0
NumBridgeheadAtoms	0.0	0.0
NumHeteroatoms	0.0	0.0
NumHeterocycles	0.0	0.0
NumLipinskiHBA	0.0	0.0
NumLipinskiHBD	0.0	0.0
NumRings	0.0	0.0
NumSaturatedCarbocycles	0.0	0.0
NumSaturatedHeterocycles	0.0	0.0
NumSaturatedRings	0.0	0.0
NumSpiroAtoms	0.0	0.0
NumValenceElectrons	0.0	0.0
PackingDensity	0.0	0.0
RadiusOfGyration	0.0	0.0
RotatableBondCount	0.0	0.0
SASA	0.0	0.0
SESA	0.0	0.0
SH	0.0	0.0
SolventExcludedVolume	0.0	0.0
SpherocityIndex	0.0	0.0
TPSA	0.0	0.0
VanDerWaalsVolume	0.0	0.0
VoidVolume	0.0	0.0
aldehyde	0.0	0.0
alkyl_halide	0.0	0.0
allylic_oxid	0.0	0.0
amide	0.0	0.0
aniline	0.0	0.0
aryl_methyl	0.0	0.0
benzene	0.0	0.0
bicyclic	0.0	0.0
ester	0.0	0.0
ether	0.0	0.0
furan	0.0	0.0
halogen	0.0	0.0
imidazole	0.0	0.0
ketone	0.0	0.0
ketone_Topliss	0.0	0.0
lactone	0.0	0.0
methoxy	0.0	0.0
nitrile	0.0	0.0
nitro	0.0	0.0
nitro_arom	0.0	0.0
para_hydroxylation	0.0	0.0
phenol	0.0	0.0
phenol_noOrthoHbond	0.0	0.0
phos_acid	0.0	0.0
phos_ester	0.0	0.0
piperdine	0.0	0.0
pyridine	0.0	0.0
seq_*000	0.0	0.0
seq_*001	0.0	0.0
seq_*002	0.0	0.0
seq_*003	0.0	0.0
seq_*005	0.0	0.0
seq_*006	0.0	0.0
seq_*008	0.0	0.0
seq_*009	0.0	0.0
seq_*010	0.0	0.0
seq_*013	0.0	0.0
seq_*014	0.0	0.0
seq_*017	0.0	0.0
seq_*018	0.0	0.0
seq_*020	0.0	0.0
seq_*021	0.0	0.0
seq_*023	0.0	0.0
seq_*024	0.0	0.0
seq_*025	0.0	0.0
seq_*026	0.0	0.0
seq_*027	0.0	0.0
seq_*029	0.0	0.0
seq_*030	0.0	0.0
seq_*031	0.0	0.0
seq_*032	0.0	0.0
seq_*035	0.0	0.0
seq_*036	0.0	0.0
seq_*037	0.0	0.0
seq_*040	0.0	0.0
seq_*043	0.0	0.0
seq_*049	0.0	0.0
seq_*050	0.0	0.0
seq_*053	0.0	0.0
seq_*054	0.0	0.0
seq_*055	0.0	0.0
seq_*057	0.0	0.0
seq_*058	0.0	0.0
seq_*059	0.0	0.0
seq_*060	0.0	0.0
seq_*063	0.0	0.0
seq_*064	0.0	0.0
seq_*068	0.0	0.0
seq_*069	0.0	0.0
seq_*070	0.0	0.0
seq_*073	0.0	0.0
seq_*074	0.0	0.0
seq_*076	0.0	0.0
seq_*078	0.0	0.0
seq_*079	0.0	0.0
seq_*080	0.0	0.0
seq_*082	0.0	0.0
seq_*084	0.0	0.0
seq_*085	0.0	0.0
seq_*086	0.0	0.0
seq_*087	0.0	0.0
seq_*089	0.0	0.0
seq_*092	0.0	0.0
seq_*095	0.0	0.0
seq_*096	0.0	0.0
seq_*097	0.0	0.0
seq_*098	0.0	0.0
seq_*099	0.0	0.0
seq_*101	0.0	0.0
seq_*102	0.0	0.0
seq_*103	0.0	0.0
seq_*104	0.0	0.0
seq_*105	0.0	0.0
seq_*106	0.0	0.0
seq_*107	0.0	0.0
seq_*108	0.0	0.0
seq_*110	0.0	0.0
seq_*111	0.0	0.0
seq_*112	0.0	0.0
seq_*113	0.0	0.0
seq_*114	0.0	0.0
seq_*117	0.0	0.0
seq_*118	0.0	0.0
seq_*119	0.0	0.0
seq_*120	0.0	0.0
seq_*123	0.0	0.0
seq_*124	0.0	0.0
seq_*125	0.0	0.0
seq_*126	0.0	0.0
seq_*127	0.0	0.0
seq_*128	0.0	0.0
seq_*129	0.0	0.0
seq_*130	0.0	0.0
seq_*131	0.0	0.0
seq_*134	0.0	0.0
seq_*136	0.0	0.0
seq_*138	0.0	0.0
seq_*139	0.0	0.0
seq_*140	0.0	0.0
seq_*141	0.0	0.0
seq_*144	0.0	0.0
seq_*145	0.0	0.0
seq_*146	0.0	0.0
seq_*147	0.0	0.0
seq_*150	0.0	0.0
seq_*151	0.0	0.0
seq_*152	0.0	0.0
seq_*153	0.0	0.0
seq_*154	0.0	0.0
seq_*156	0.0	0.0
seq_*157	0.0	0.0
seq_*158	0.0	0.0
seq_*159	0.0	0.0
seq_*162	0.0	0.0
seq_*163	0.0	0.0
seq_*165	0.0	0.0
seq_*166	0.0	0.0
seq_*167	0.0	0.0
seq_*168	0.0	0.0
seq_*169	0.0	0.0
seq_*170	0.0	0.0
seq_*171	0.0	0.0
seq_*172	0.0	0.0
seq_*174	0.0	0.0
seq_*175	0.0	0.0
seq_*176	0.0	0.0
seq_*178	0.0	0.0
seq_*179	0.0	0.0
seq_*180	0.0	0.0
seq_*181	0.0	0.0
seq_*182	0.0	0.0
seq_*184	0.0	0.0
seq_*185	0.0	0.0
seq_*206	0.0	0.0
seq_*207	0.0	0.0
seq_*210	0.0	0.0
seq_*211	0.0	0.0
seq_*213	0.0	0.0
seq_*214	0.0	0.0
seq_*216	0.0	0.0
seq_*217	0.0	0.0
seq_*218	0.0	0.0
seq_*221	0.0	0.0
seq_*223	0.0	0.0
seq_*224	0.0	0.0
seq_*225	0.0	0.0
seq_*226	0.0	0.0
seq_*228	0.0	0.0
seq_*229	0.0	0.0
seq_*231	0.0	0.0
seq_A001	0.0	0.0
seq_A002	0.0	0.0
seq_A003	0.0	0.0
seq_A004	0.0	0.0
seq_A005	0.0	0.0
seq_A006	0.0	0.0
seq_A008	0.0	0.0
seq_A009	0.0	0.0
seq_A010	0.0	0.0
seq_A011	0.0	0.0
seq_A012	0.0	0.0
seq_A014	0.0	0.0
seq_A015	0.0	0.0
seq_A019	0.0	0.0
